"parameter","median","lower_95","upper_95"
"beta_0",0.019475614113317,0.0115880280028656,0.0271530520146311
"sigma2_w",0.0146827141610451,0.00918235854755362,0.0368373729616151
"eta",0.349995259578298,0.213589838961482,0.510586876152769
"rho",0.633947112182592,0.437638500706461,0.860831283870697
