"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_dagarbayes"
1,"11110",257,305.059943627507,19.98,-0.709833758246731,272.521896508173,0.893338841106375
2,"11140",206,244.229557059003,22.32,0.386888569494809,212.806178835012,0.871336710419538
3,"11170",402,416.129241373064,19.46,-0.953549831078184,380.999729821905,0.915580285982198
4,"11200",452,489.775613364298,20.24,-0.587975721831004,439.496696037765,0.897342954702942
5,"11215",448,531.829239776675,20.76,-0.344259648999551,456.974535938593,0.859250492000937
6,"11230",586,656.766832603434,20.66,-0.39112812454406,582.242017678982,0.8865277428383
7,"11260",668,707.032165987705,22.54,0.489999215692732,663.141705930436,0.937922965646187
8,"11290",688,784.654038871553,20.68,-0.38175442943516,697.423519457254,0.888829324654024
9,"11305",606,649.126652661406,23.5,0.93993658092003,607.800172141269,0.936335258534372
10,"11320",611,650.935336832158,20.42,-0.503612465850886,619.514183053847,0.951729224086642
11,"11350",866,895.619994213229,19.64,-0.869186575098068,861.075951734981,0.961430023110869
12,"11380",847,877.108098468447,20.78,-0.334885953890651,845.756109060953,0.964255273138809
13,"11410",513,575.87890009113,20.94,-0.259896393019432,513.821750783249,0.892239237627806
14,"11440",507,592.83625457825,19.14,-1.10352895282062,514.408810962781,0.867708084635844
15,"11470",596,678.794574034476,18,-1.63782957402803,609.630129875696,0.898106957827174
16,"11500",826,899.529868482641,20.14,-0.634844197375517,824.154475555207,0.916205791971555
17,"11530",617,696.687484027187,19.12,-1.11290264792952,625.995115962782,0.898530733384545
18,"11545",370,401.724655329192,22.56,0.499372910801633,376.669947281261,0.937632137546051
19,"11560",550,639.189043797889,17.78,-1.74094022022596,551.608890680953,0.862982393132776
20,"11590",592,677.44421971006,18.24,-1.52534523272121,583.137221228676,0.860790016745958
21,"11620",718,807.848611008102,21.84,0.161919886881159,712.450956490399,0.881911470518397
22,"11650",425,639.465112065378,16.4,-2.3877251827402,450.820995471063,0.704997015419619
23,"11680",521,779.03446588358,18.08,-1.60033479359243,548.583162891482,0.704183430792475
24,"11710",719,934.365406482836,16.98,-2.11588802458204,725.679998070281,0.776655463735442
25,"11740",577,684.433930238211,18.68,-1.31912394032537,576.906044743286,0.842895156501811
26,"26110",110,111.006848749952,26.58,2.38348562769095,112.589606162595,1.01425819605247
27,"26140",312,279.566499930552,21.74,0.11505141133665,300.986176521676,1.07661746524152
28,"26170",253,236.281086419239,21.44,-0.0255540152968828,248.109737767074,1.05006177822819
29,"26230",694,727.297647750732,21.76,0.12442510644555,714.51256130426,0.982421108488372
30,"26260",462,501.100358228236,19.22,-1.06603417238501,473.448592925228,0.944817909528588
31,"26290",584,553.724914644247,20.5,-0.466117685415278,575.343119650632,1.03904141647712
32,"26320",515,494.897473933542,19.36,-1.0004183066227,505.803910675913,1.02203777007727
33,"26350",719,715.572227377461,21.34,-0.0724224908413937,717.756474884567,1.00305244868867
34,"26380",594,589.188102158466,22.18,0.321272703732494,599.459819332544,1.01743368057917
35,"26410",492,493.456039634025,19.98,-0.709833758246731,489.299559484497,0.991576797494238
36,"26440",145,160.167552634327,20.96,-0.250522697910531,158.214053121127,0.987803400369989
37,"26470",374,397.875779632542,19.3,-1.0285393919494,379.549858364139,0.953940596018869
38,"26500",356,378.349360990596,21.4,-0.0443014055146848,362.360840729132,0.957741384260297
39,"26530",426,385.997321847636,21.86,0.171293581990061,411.345013801545,1.06566805135481
40,"26710",282,260.721089332085,20.92,-0.269270088128334,273.902530997687,1.05055763497832
41,"27110",168,178.221121184196,20.24,-0.587975721831004,180.656458472402,1.0136646951384
42,"27140",797,685.689472097647,21.62,0.0588092406832356,779.269485528386,1.13647579150437
43,"27170",475,397.820644384667,24.58,1.44611611680074,465.60886643304,1.17039895491906
