"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
54,55,"28237","28245",0.993611681543618,0,1,0
50,56,"28140","28260",1.43417535166202,0.0873,1,0
51,56,"28177","28260",3.1683089468089,0.9489,0,1
53,56,"28200","28260",1.03110646197923,0,1,0
54,56,"28237","28260",0.253089767940357,0,1,0
55,56,"28245","28260",1.24670144948397,0.00290000000000001,1,0
57,58,"29110","29140",0.0281210853267072,0,1,0
57,59,"29110","29155",0.187473902178042,0,1,0
58,59,"29140","29155",0.215594987504749,0,1,0
57,60,"29110","29170",1.66533453693773e-15,0,1,0
58,60,"29140","29170",0.0281210853267055,0,1,0
58,61,"29140","29200",0.449937365227299,0,1,0
59,61,"29155","29200",0.665532352732048,0,1,0
60,61,"29170","29200",0.478058450554005,0,1,0
62,63,"30110","30140",0.384321499464984,0,1,0
63,64,"30140","30170",0.112484341306826,0,1,0
64,65,"30170","30200",2.37154486255222,0.5334,0,1
62,66,"30110","30230",0.168726511960235,0,1,0
63,66,"30140","30230",0.553048011425219,0,1,0
64,66,"30170","30230",0.665532352732045,0,1,0
65,66,"30200","30230",3.03707721528426,0.8938,0,1
67,68,"31110","31140",0.99361168154362,0,1,0
67,70,"31110","31200",0.68427974294985,0,1,0
68,70,"31140","31200",0.309331938593769,0,1,0
69,70,"31170","31200",1.06860124241483,0,1,0
40,71,"26710","31710",0.0749895608712165,0,1,0
67,71,"31110","31710",0.206221292395846,0,1,0
68,71,"31140","31710",0.787390389147774,0,1,0
70,71,"31200","31710",0.478058450554005,0,1,0
65,72,"30200","36110",0.36557410924718,0,1,0
73,74,"41111","41113",1.01235907176142,0,1,0
73,75,"41111","41115",0.740521913603261,0,1,0
74,75,"41113","41115",0.271837158158162,0,1,0
73,76,"41111","41117",1.62164925384006,0.3117,1,0
74,76,"41113","41117",2.63400832560148,0.644,0,1
75,76,"41115","41117",2.36217116744332,0.5327,0,1
22,77,"11650","41131",4.06818367726349,0.9997,0,1
23,77,"11680","41131",3.28079328811572,0.9874,0,1
24,77,"11710","41131",3.79634651910533,0.999,0,1
77,78,"41131","41133",0.206221292395848,0,1,0
77,79,"41131","41135",4.61185799357981,0.9997,0,1
78,79,"41133","41135",4.40563670118396,0.9997,0,1
10,80,"11320","41150",1.14359080328605,0,1,0
11,80,"11350","41150",1.50916491253323,0.1219,1,0
18,81,"11545","41171",0.77801669403887,0,1,0
21,81,"11620","41171",0.440563670118397,0,1,0
21,82,"11620","41173",1.76225468047359,0.437,1,0
81,82,"41171","41173",1.32169101035519,0.00609999999999999,1,0
15,83,"11470","41190",1.31231731524629,0.00539999999999996,1,0
16,83,"11500","41190",0.30933193859377,0,1,0
17,83,"11530","41190",0.787390389147774,0,1,0
53,83,"28200","41190",1.26544883970178,0.00360000000000005,1,0
54,83,"28237","41190",0.487432145662906,0,1,0
55,83,"28245","41190",1.48104382720652,0.1036,1,0
17,84,"11530","41210",0.0374947804356092,0,1,0
18,84,"11545","41210",1.57478077829554,0.2198,1,0
81,84,"41171","41210",0.796764084256674,0,1,0
83,84,"41190","41210",0.749895608712165,0,1,0
74,87,"41113","41271",0.927995815781302,0,1,0
81,87,"41171","41271",1.8091231560181,0.46,1,0
87,88,"41271","41273",0.262463463049258,0,1,0
1,89,"11110","41281",1.33106470546409,0.0109,1,0
8,89,"11290","41281",1.00298537665252,0,1,0
9,89,"11305","41281",0.31870563370267,0,1,0
12,89,"11380","41281",0.956116901108011,0,1,0
14,89,"11440","41281",1.72475990003798,0.4156,1,0
89,90,"41281","41285",1.8466179364537,0.4733,1,0
90,91,"41285","41287",0.121858036415728,0,1,0
21,92,"11620","41290",3.71198326312521,0.9973,0,1
22,92,"11650","41290",1.16233819350385,0,1,0
77,92,"41131","41290",5.23052187076735,0.9997,0,1
82,92,"41173","41290",1.94972858265163,0.4955,1,0
5,93,"11215","41310",0.815511474474479,0,1,0
7,93,"11260","41310",1.64977033916676,0.3554,1,0
11,93,"11350","41310",0.290584548375962,0,1,0
11,94,"11350","41360",1.23732775437507,0.00239999999999996,1,0
80,94,"41150","41360",0.27183715815816,0,1,0
93,94,"41310","41360",1.52791230275104,0.1332,1,0
85,95,"41220","41370",0.271837158158159,0,1,0
53,96,"28200","41390",0.0843632559801184,0,1,0
81,96,"41171","41390",1.30294362013739,0.00490000000000002,1,0
83,96,"41190","41390",1.3498120956819,0.0212,1,0
84,96,"41210","41390",2.09970770439406,0.5102,0,1
87,96,"41271","41390",0.506179535880712,0,1,0
88,96,"41273","41390",0.243716072831453,0,1,0
81,97,"41171","41410",0.431189975009494,0,1,0
82,97,"41173","41410",0.890501035345696,0,1,0
87,97,"41271","41410",2.24031313102759,0.5226,0,1
73,98,"41111","41430",0.581169096751928,0,1,0
74,98,"41113","41430",1.59352816851335,0.2577,1,0
77,98,"41131","41430",2.67150310603709,0.6811,0,1
79,98,"41135","41430",1.94035488754272,0.4944,1,0
82,98,"41173","41430",0.609290182078634,0,1,0
87,98,"41271","41430",2.52152398429465,0.5626,0,1
92,98,"41290","41430",2.55901876473026,0.5817,0,1
97,98,"41410","41430",0.281210853267062,0,1,0
24,99,"11710","41450",0.759269303821065,0,1,0
25,99,"11740","41450",0.0374947804356089,0,1,0
77,99,"41131","41450",3.03707721528427,0.8938,0,1
78,99,"41133","41450",2.83085592288842,0.7918,0,1
94,99,"41360","41450",1.72475990003798,0.4156,1,0
85,100,"41220","41461",0.759269303821067,0,1,0
76,101,"41117","41463",0.131231731524629,0,1,0
100,101,"41461","41463",3.31828806855133,0.9898,0,1
73,102,"41111","41465",2.01534444841394,0.5055,0,1
76,102,"41117","41465",0.393695194573886,0,1,0
79,102,"41135","41465",0.506179535880711,0,1,0
98,102,"41430","41465",1.43417535166201,0.0873,1,0
100,102,"41461","41465",3.58075153160058,0.996,0,1
101,102,"41463","41465",0.262463463049257,0,1,0
89,103,"41281","41480",0.0937369510890219,0,1,0
90,103,"41285","41480",1.75288098536468,0.4324,1,0
91,103,"41287","41480",1.63102294894896,0.3388,1,0
100,104,"41461","41500",0.121858036415727,0,1,0
85,105,"41220","41550",0.0187473902178054,0,1,0
100,105,"41461","41550",0.740521913603261,0,1,0
104,105,"41500","41550",0.862379950018989,0,1,0
16,106,"11500","41570",0.0656158657623129,0,1,0
55,106,"28245","41570",1.85599163156261,0.4774,1,0
56,106,"28260","41570",0.609290182078632,0,1,0
91,106,"41287","41570",0.403068889682788,0,1,0
74,107,"41113","41590",0.731148218494361,0,1,0
76,107,"41117","41590",1.90286010710712,0.4898,1,0
85,107,"41220","41590",0.524926926098514,0,1,0
87,107,"41271","41590",1.65914403427566,0.3649,1,0
88,107,"41273","41590",1.3966805712264,0.0526,1,0
95,107,"41370","41590",0.796764084256672,0,1,0
100,107,"41461","41590",1.28419622991958,0.00380000000000003,1,0
101,107,"41463","41590",2.03409183863175,0.5071,0,1
78,108,"41133","41610",0.384321499464983,0,1,0
79,108,"41135","41610",4.02131520171898,0.9996,0,1
94,108,"41360","41610",0.721774523385458,0,1,0
99,108,"41450","41610",2.44653442342344,0.5417,0,1
100,108,"41461","41610",0.0656158657623147,0,1,0
102,108,"41465","41610",3.51513566583827,0.9925,0,1
104,108,"41500","41610",0.187473902178042,0,1,0
9,109,"11305","41630",0.412442584791692,0,1,0
10,109,"11320","41630",1.03110646197922,0,1,0
80,109,"41150","41630",0.112484341306827,0,1,0
