parameter,median,lower_95,upper_95
beta_0,0.08580881729722023,0.014974695513956257,0.15191580802202218
sigma2_w,0.10617306561622708,0.01060108461501376,0.8385159252779655
eta_raw,0.47640854006363653,0.017211500845583903,0.9793350377640873
eta,0.46912534625237756,0.016948376476687642,0.964363251395103
rho,0.8147618045546254,0.05065589174634258,0.9896234882340627
