comparison,abi_parameter,reference_parameter,abi_median,abi_lower_95,abi_upper_95,reference_median,reference_lower_95,reference_upper_95
intercept,beta_0,beta_0,0.08580881729722023,0.014974695513956257,0.15191580802202218,0.0897547379695877,0.069826307531574,0.108269153886159
variance_scale,sigma2_w,sigma2_w,0.10617306561622708,0.01060108461501376,0.8385159252779655,0.0310067553785508,0.016848661320384,0.125589518201763
boundary_strength,eta,eta,0.46912534625237756,0.016948376476687642,0.964363251395103,0.440474349125474,0.274567824334517,0.936125469616043
spatial_dependence,rho,rho,0.8147618045546254,0.05065589174634258,0.9896234882340627,0.578312952034013,0.263785767697178,0.89757503761691
