loss,val_loss
3.876086473464966,2.955864191055298
2.991162061691284,3.143073320388794
2.6414594650268555,2.3635764122009277
2.3021063804626465,2.232367992401123
2.099453926086426,2.272778272628784
1.946964144706726,1.9209738969802856
1.909631371498108,1.5947054624557495
1.7223261594772339,1.8203396797180176
1.6814494132995605,1.5980770587921143
1.5722404718399048,1.585511326789856
1.4387867450714111,1.761810541152954
1.3628015518188477,1.4004666805267334
1.4429529905319214,1.3113954067230225
1.2709457874298096,1.3363085985183716
1.1898598670959473,1.2344398498535156
1.1293178796768188,1.2325553894042969
1.1356984376907349,1.2165470123291016
1.0580323934555054,1.0584206581115723
0.9958175420761108,1.1984590291976929
0.9620844125747681,0.8737279772758484
0.8758863806724548,1.1237635612487793
0.8267571330070496,0.8597266674041748
0.7738839983940125,0.9706355929374695
0.744809627532959,0.8362954258918762
0.7195042371749878,1.0405915975570679
0.6681826710700989,0.7248789072036743
0.6037847399711609,0.7519095540046692
0.5397650003433228,0.73711758852005
0.5358796119689941,0.9510802030563354
0.4790295660495758,0.8019885420799255
0.46628037095069885,0.7138000726699829
0.41391968727111816,0.672317385673523
0.36164215207099915,0.6452710032463074
0.3594357967376709,0.6613774299621582
0.3216600716114044,0.6192114949226379
0.3086980879306793,0.659813642501831
0.2897014915943146,0.6347200870513916
0.2832009196281433,0.6281710863113403
0.2687758207321167,0.6225302219390869
0.25642865896224976,0.6290441155433655
