dataset,N,edge_count,true_eta,true_rho,beta_0_error,beta_0_abs_error,beta_0_zscore,sigma2_w_error,sigma2_w_abs_error,sigma2_w_zscore,eta_error,eta_abs_error,eta_zscore,rho_error,rho_abs_error,rho_zscore
165,192,557,0.3794,0.2550,-0.0361,0.0361,1.4691,0.0278,0.0278,-0.4357,0.1098,0.1098,-0.5838,0.0436,0.0436,-0.2451
166,76,216,0.6373,0.4894,-0.0269,0.0269,0.6755,0.0695,0.0695,-0.5420,-0.0809,0.0809,0.6302,-0.0763,0.0763,0.3731
167,196,573,0.5679,0.1429,0.0195,0.0195,-0.3618,-0.0185,0.0185,0.2580,-0.0202,0.0202,0.1121,0.0028,0.0028,-0.0414
168,73,207,0.5444,0.3626,0.0015,0.0015,-0.0416,0.1170,0.1170,-0.7625,0.0621,0.0621,-0.5894,0.1468,0.1468,-0.8060
169,198,581,0.7080,0.0903,-0.0187,0.0187,0.6767,0.1003,0.1003,-0.5050,-0.2514,0.2514,1.0150,0.7437,0.7437,-3.0053
170,47,130,0.4531,0.9032,0.0009,0.0009,-0.0349,-0.1318,0.1318,1.0569,-0.1227,0.1227,0.6655,-0.5047,0.5047,1.6819
171,60,166,0.4185,0.9450,-0.0046,0.0046,0.1855,-0.0521,0.0521,0.2219,0.0382,0.0382,-0.2101,-0.1025,0.1025,0.6899
172,59,163,0.4665,0.7594,0.0149,0.0149,-0.4247,-0.3986,0.3986,2.0167,-0.0461,0.0461,0.2783,-0.2620,0.2620,1.3571
173,288,845,0.4916,0.3495,0.0016,0.0016,-0.0631,0.0042,0.0042,-0.0845,0.0951,0.0951,-1.0892,-0.0142,0.0142,0.1137
174,219,637,0.1557,0.6055,0.0185,0.0185,-0.2088,0.1720,0.1720,-0.8521,-0.0497,0.0497,0.7018,0.1271,0.1271,-1.0910
175,243,712,0.3948,0.3318,0.0030,0.0030,-0.0866,-0.0191,0.0191,0.3685,-0.1644,0.1644,1.0605,-0.1359,0.1359,2.1361
176,63,176,0.4383,0.2000,0.0066,0.0066,-0.1817,0.0450,0.0450,-0.3873,-0.0245,0.0245,0.1476,-0.0506,0.0506,0.4834
177,70,196,0.6616,0.8106,0.0181,0.0181,-0.2093,0.1106,0.1106,-0.5563,-0.3226,0.3226,1.7562,0.0038,0.0038,-0.0182
178,247,723,0.1626,0.3328,0.0573,0.0573,-0.3698,0.0601,0.0601,-0.4640,0.0247,0.0247,-0.1906,0.2595,0.2595,-1.3598
179,100,285,0.4905,0.9220,0.0123,0.0123,-0.2097,-0.3423,0.3423,1.4202,0.0474,0.0474,-0.5642,-0.1156,0.1156,1.1234
180,76,212,0.6903,0.5431,0.0463,0.0463,-0.7595,0.0205,0.0205,-0.1176,-0.1883,0.1883,0.9560,-0.1567,0.1567,0.9606
181,160,463,0.2422,0.1366,0.0158,0.0158,-0.5244,0.0327,0.0327,-0.2544,-0.0030,0.0030,0.0187,0.0878,0.0878,-1.0891
182,268,788,0.3367,0.1594,-0.0261,0.0261,0.7339,-0.0065,0.0065,0.2656,0.0474,0.0474,-0.2525,-0.0116,0.0116,0.1304
183,280,825,0.5993,0.9524,0.0008,0.0008,-0.0319,-0.5671,0.5671,3.9137,-0.0458,0.0458,0.4126,-0.2689,0.2689,1.7433
184,86,240,0.3350,0.9539,-0.0075,0.0075,0.3410,-0.7506,0.7506,3.3545,-0.0681,0.0681,0.4583,-0.2605,0.2605,1.6038
185,272,800,0.4556,0.9218,-0.0347,0.0347,1.6455,-0.2410,0.2410,1.1723,-0.0003,0.0003,0.0029,-0.1471,0.1471,1.0697
186,155,451,0.7090,0.2013,0.0126,0.0126,-0.5879,0.0849,0.0849,-1.5136,-0.1813,0.1813,1.0695,-0.0286,0.0286,0.3303
187,263,772,0.0049,0.7395,0.0156,0.0156,-0.6027,-0.6763,0.6763,3.3703,0.1257,0.1257,-1.5655,-0.1650,0.1650,1.8389
188,84,237,0.6821,0.2640,0.0139,0.0139,-0.3164,-0.0187,0.0187,0.3267,-0.4896,0.4896,3.1102,-0.0788,0.0788,0.6571
189,93,265,0.6459,0.1154,-0.0114,0.0114,0.4703,-0.0084,0.0084,0.3455,-0.1379,0.1379,0.6112,0.0358,0.0358,-0.3346
190,71,198,0.3634,0.8928,-0.0078,0.0078,0.1362,-0.6824,0.6824,2.7998,0.0767,0.0767,-0.4476,-0.1878,0.1878,1.4453
191,60,166,0.3008,0.6317,0.0226,0.0226,-0.5573,0.0158,0.0158,-0.0754,0.0937,0.0937,-0.5233,-0.1184,0.1184,0.6503
192,283,836,0.4396,0.3827,-0.0214,0.0214,1.5370,0.0020,0.0020,-0.1418,-0.0854,0.0854,0.4884,-0.1973,0.1973,2.4032
193,167,482,0.5589,0.9759,0.0028,0.0028,-0.0656,0.0296,0.0296,-0.1578,-0.2894,0.2894,1.5235,-0.2056,0.2056,0.7469
194,168,486,0.2867,0.5778,-0.0028,0.0028,0.1285,-0.0426,0.0426,0.3627,0.0580,0.0580,-0.4039,-0.0776,0.0776,0.5127
195,136,389,0.5227,0.8418,0.0098,0.0098,-0.3416,-0.0798,0.0798,0.3337,-0.0232,0.0232,0.2893,-0.0927,0.0927,0.9966
196,69,192,0.2816,0.6334,-0.0142,0.0142,0.4444,0.0570,0.0570,-0.3246,0.0172,0.0172,-0.1003,-0.0270,0.0270,0.1346
197,92,261,0.4922,0.4233,0.0436,0.0436,-1.4112,-0.2374,0.2374,1.5817,-0.0083,0.0083,0.0527,-0.1342,0.1342,1.0610
198,64,180,0.2793,0.3268,0.0293,0.0293,-0.7526,-0.0683,0.0683,0.4905,0.0303,0.0303,-0.1423,-0.2133,0.2133,3.0909
199,118,338,0.4146,0.1766,-0.0287,0.0287,1.1349,-0.0379,0.0379,0.3922,0.1798,0.1798,-1.3253,0.0857,0.0857,-0.8729
