dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
145,273,800,0.1906,0.1408,"(217.5, 299.0]",sigma2_w,-1.0051
146,164,475,0.7065,0.4660,"(155.0, 217.5]",sigma2_w,-0.6641
147,258,761,0.0991,0.5657,"(217.5, 299.0]",sigma2_w,-0.5904
148,141,409,0.5065,0.3625,"(95.75, 155.0]",sigma2_w,-0.5851
149,238,698,0.3369,0.6151,"(217.5, 299.0]",sigma2_w,-0.8899
150,166,486,0.3906,0.8482,"(155.0, 217.5]",sigma2_w,1.0563
151,230,671,0.0771,0.8282,"(217.5, 299.0]",sigma2_w,-0.2671
152,286,845,0.4414,0.5275,"(217.5, 299.0]",sigma2_w,-1.0395
153,199,580,0.4959,0.1182,"(155.0, 217.5]",sigma2_w,1.1538
154,88,251,0.0730,0.0558,"(39.9999, 95.75]",sigma2_w,-1.5305
155,198,579,0.4597,0.7857,"(155.0, 217.5]",sigma2_w,1.7893
156,281,823,0.0282,0.6897,"(217.5, 299.0]",sigma2_w,-0.1523
157,226,656,0.2962,0.0410,"(217.5, 299.0]",sigma2_w,-1.0548
158,70,197,0.4947,0.1345,"(39.9999, 95.75]",sigma2_w,-1.1965
159,189,551,0.1418,0.5837,"(155.0, 217.5]",sigma2_w,-0.4721
160,99,284,0.6935,0.9453,"(95.75, 155.0]",sigma2_w,-0.5272
161,295,866,0.4063,0.4496,"(217.5, 299.0]",sigma2_w,-0.4250
162,54,148,0.5747,0.5979,"(39.9999, 95.75]",sigma2_w,-0.3415
163,171,497,0.6763,0.2908,"(155.0, 217.5]",sigma2_w,-0.3147
164,80,226,0.5650,0.4324,"(39.9999, 95.75]",sigma2_w,1.1644
165,192,557,0.3794,0.2550,"(155.0, 217.5]",sigma2_w,-0.4371
166,76,216,0.6373,0.4894,"(39.9999, 95.75]",sigma2_w,-0.5431
167,196,573,0.5679,0.1429,"(155.0, 217.5]",sigma2_w,0.2414
168,73,207,0.5444,0.3626,"(39.9999, 95.75]",sigma2_w,-0.7636
169,198,581,0.7080,0.0903,"(155.0, 217.5]",sigma2_w,-0.5094
170,47,130,0.4531,0.9032,"(39.9999, 95.75]",sigma2_w,1.0644
171,60,166,0.4185,0.9450,"(39.9999, 95.75]",sigma2_w,0.2307
172,59,163,0.4665,0.7594,"(39.9999, 95.75]",sigma2_w,2.0587
173,288,845,0.4916,0.3495,"(217.5, 299.0]",sigma2_w,-0.0942
174,219,637,0.1557,0.6055,"(217.5, 299.0]",sigma2_w,-0.8574
175,243,712,0.3948,0.3318,"(217.5, 299.0]",sigma2_w,0.3863
176,63,176,0.4383,0.2000,"(39.9999, 95.75]",sigma2_w,-0.3746
177,70,196,0.6616,0.8106,"(39.9999, 95.75]",sigma2_w,-0.5633
178,247,723,0.1626,0.3328,"(217.5, 299.0]",sigma2_w,-0.4628
179,100,285,0.4905,0.9220,"(95.75, 155.0]",sigma2_w,1.4604
180,76,212,0.6903,0.5431,"(39.9999, 95.75]",sigma2_w,-0.1319
181,160,463,0.2422,0.1366,"(155.0, 217.5]",sigma2_w,-0.2628
182,268,788,0.3367,0.1594,"(217.5, 299.0]",sigma2_w,0.3027
183,280,825,0.5993,0.9524,"(217.5, 299.0]",sigma2_w,3.8665
184,86,240,0.3350,0.9539,"(39.9999, 95.75]",sigma2_w,3.3535
185,272,800,0.4556,0.9218,"(217.5, 299.0]",sigma2_w,1.2411
186,155,451,0.7090,0.2013,"(95.75, 155.0]",sigma2_w,-1.5192
187,263,772,0.0049,0.7395,"(217.5, 299.0]",sigma2_w,3.3927
188,84,237,0.6821,0.2640,"(39.9999, 95.75]",sigma2_w,0.3390
189,93,265,0.6459,0.1154,"(39.9999, 95.75]",sigma2_w,0.4110
190,71,198,0.3634,0.8928,"(39.9999, 95.75]",sigma2_w,2.8188
191,60,166,0.3008,0.6317,"(39.9999, 95.75]",sigma2_w,-0.0648
192,283,836,0.4396,0.3827,"(217.5, 299.0]",sigma2_w,-0.1310
193,167,482,0.5589,0.9759,"(155.0, 217.5]",sigma2_w,-0.1699
194,168,486,0.2867,0.5778,"(155.0, 217.5]",sigma2_w,0.3744
195,136,389,0.5227,0.8418,"(95.75, 155.0]",sigma2_w,0.3153
196,69,192,0.2816,0.6334,"(39.9999, 95.75]",sigma2_w,-0.3253
197,92,261,0.4922,0.4233,"(39.9999, 95.75]",sigma2_w,1.6231
198,64,180,0.2793,0.3268,"(39.9999, 95.75]",sigma2_w,0.4931
199,118,338,0.4146,0.1766,"(95.75, 155.0]",sigma2_w,0.4204
0,138,397,0.3056,0.9808,"(95.75, 155.0]",eta,0.0311
1,204,593,0.0606,0.7890,"(155.0, 217.5]",eta,-1.1589
2,127,362,0.7102,0.8281,"(95.75, 155.0]",eta,0.7301
3,205,598,0.6721,0.8599,"(155.0, 217.5]",eta,1.5551
4,97,276,0.0617,0.0594,"(95.75, 155.0]",eta,-1.2575
5,223,650,0.1451,0.5733,"(217.5, 299.0]",eta,0.2932
6,205,598,0.0223,0.8939,"(155.0, 217.5]",eta,-1.2187
7,268,787,0.0609,0.5438,"(217.5, 299.0]",eta,-0.4947
8,94,266,0.2451,0.8577,"(39.9999, 95.75]",eta,-0.1912
9,132,380,0.4547,0.7167,"(95.75, 155.0]",eta,0.5328
10,55,151,0.1328,0.5048,"(39.9999, 95.75]",eta,-0.9048
11,161,466,0.4442,0.9759,"(155.0, 217.5]",eta,0.4401
12,79,223,0.2396,0.7592,"(39.9999, 95.75]",eta,-0.0656
13,94,269,0.0139,0.2653,"(39.9999, 95.75]",eta,-1.4734
14,56,156,0.7095,0.1360,"(39.9999, 95.75]",eta,0.7476
15,208,607,0.3550,0.0958,"(155.0, 217.5]",eta,-0.0823
16,166,485,0.4904,0.8273,"(155.0, 217.5]",eta,0.0699
17,167,479,0.5269,0.8364,"(155.0, 217.5]",eta,-0.7974
18,102,289,0.6593,0.0116,"(95.75, 155.0]",eta,1.1712
19,99,281,0.5103,0.8012,"(95.75, 155.0]",eta,0.2034
20,248,726,0.6088,0.3530,"(217.5, 299.0]",eta,1.6922
21,274,804,0.2921,0.3062,"(217.5, 299.0]",eta,-0.0181
22,124,355,0.2938,0.5234,"(95.75, 155.0]",eta,0.6532
23,66,186,0.6749,0.5387,"(39.9999, 95.75]",eta,1.0798
24,195,571,0.1373,0.2931,"(155.0, 217.5]",eta,-1.0682
25,152,440,0.3853,0.8504,"(95.75, 155.0]",eta,0.1242
26,115,333,0.0276,0.9580,"(95.75, 155.0]",eta,-1.6356
27,239,701,0.2673,0.5122,"(217.5, 299.0]",eta,-0.0327
28,224,655,0.1862,0.7073,"(217.5, 299.0]",eta,0.9394
29,147,427,0.6391,0.0226,"(95.75, 155.0]",eta,1.4121
30,83,234,0.0119,0.1217,"(39.9999, 95.75]",eta,-1.4833
31,139,401,0.4439,0.7017,"(95.75, 155.0]",eta,0.7077
32,110,313,0.1530,0.1140,"(95.75, 155.0]",eta,-0.6723
33,93,262,0.5013,0.0189,"(39.9999, 95.75]",eta,0.5222
34,168,485,0.1341,0.4110,"(155.0, 217.5]",eta,-0.8486
35,71,195,0.2250,0.6321,"(39.9999, 95.75]",eta,0.2011
36,97,275,0.4230,0.8448,"(95.75, 155.0]",eta,0.8802
37,240,701,0.4336,0.7440,"(217.5, 299.0]",eta,1.1660
38,98,276,0.4911,0.4086,"(95.75, 155.0]",eta,1.0033
39,44,119,0.2632,0.2717,"(39.9999, 95.75]",eta,-0.6139
40,184,536,0.5459,0.3698,"(155.0, 217.5]",eta,0.5751
41,223,653,0.6751,0.1988,"(217.5, 299.0]",eta,1.1415
42,213,624,0.0637,0.2080,"(155.0, 217.5]",eta,-0.8516
43,137,397,0.0461,0.5805,"(95.75, 155.0]",eta,-1.8010
44,198,571,0.4034,0.1210,"(155.0, 217.5]",eta,0.3679
45,167,488,0.2461,0.3282,"(155.0, 217.5]",eta,0.9439
46,114,331,0.4000,0.9472,"(95.75, 155.0]",eta,-0.3742
47,161,470,0.7358,0.7401,"(155.0, 217.5]",eta,1.3367
48,136,393,0.6621,0.7125,"(95.75, 155.0]",eta,0.7232
49,215,626,0.4138,0.4943,"(155.0, 217.5]",eta,0.5399
50,247,723,0.5872,0.4909,"(217.5, 299.0]",eta,0.7181
51,76,214,0.7958,0.9155,"(39.9999, 95.75]",eta,1.2762
52,127,368,0.3482,0.6537,"(95.75, 155.0]",eta,0.3273
53,104,296,0.2617,0.2123,"(95.75, 155.0]",eta,-0.3817
54,163,474,0.5458,0.1011,"(155.0, 217.5]",eta,1.2049
55,137,395,0.2876,0.6566,"(95.75, 155.0]",eta,0.9768
56,48,130,0.7707,0.9272,"(39.9999, 95.75]",eta,1.4515
57,40,104,0.3572,0.7494,"(39.9999, 95.75]",eta,0.1796
58,173,500,0.6417,0.3764,"(155.0, 217.5]",eta,1.1315
59,109,314,0.3763,0.7287,"(95.75, 155.0]",eta,-0.0828
60,274,805,0.5905,0.2661,"(217.5, 299.0]",eta,0.8724
61,288,848,0.2618,0.5276,"(217.5, 299.0]",eta,0.2334
62,125,361,0.2566,0.3498,"(95.75, 155.0]",eta,0.6267
63,89,251,0.5745,0.8620,"(39.9999, 95.75]",eta,0.3615
64,176,509,0.5792,0.6555,"(155.0, 217.5]",eta,0.6402
65,291,853,0.1698,0.3024,"(217.5, 299.0]",eta,-0.5699
66,141,406,0.3022,0.3023,"(95.75, 155.0]",eta,0.6565
67,208,606,0.1176,0.4836,"(155.0, 217.5]",eta,0.0549
68,221,650,0.7415,0.9678,"(217.5, 299.0]",eta,0.6676
69,154,443,0.0959,0.2455,"(95.75, 155.0]",eta,-0.8004
70,274,805,0.6607,0.0890,"(217.5, 299.0]",eta,1.1569
71,211,617,0.3569,0.7607,"(155.0, 217.5]",eta,-0.1096
72,285,839,0.4363,0.5266,"(217.5, 299.0]",eta,-0.6343
73,108,309,0.6708,0.0498,"(95.75, 155.0]",eta,1.2549
74,117,334,0.3374,0.9514,"(95.75, 155.0]",eta,0.2056
75,280,824,0.0161,0.0869,"(217.5, 299.0]",eta,-1.5756
76,254,742,0.0106,0.0767,"(217.5, 299.0]",eta,-1.4708
77,215,624,0.4873,0.3495,"(155.0, 217.5]",eta,0.0292
78,60,167,0.0353,0.0363,"(39.9999, 95.75]",eta,-1.4138
79,150,438,0.2857,0.2673,"(95.75, 155.0]",eta,0.4062
80,59,163,0.3158,0.1914,"(39.9999, 95.75]",eta,0.0314
81,299,876,0.6139,0.4092,"(217.5, 299.0]",eta,0.1223
82,137,395,0.1484,0.5933,"(95.75, 155.0]",eta,-1.1558
83,214,626,0.2300,0.6132,"(155.0, 217.5]",eta,0.1909
84,115,326,0.0467,0.4849,"(95.75, 155.0]",eta,-1.0659
85,66,184,0.5291,0.1741,"(39.9999, 95.75]",eta,0.4356
86,151,434,0.4412,0.2839,"(95.75, 155.0]",eta,-0.1869
87,220,645,0.1423,0.1920,"(217.5, 299.0]",eta,-0.7772
88,92,261,0.5383,0.2052,"(39.9999, 95.75]",eta,0.5506
89,49,134,0.2354,0.8756,"(39.9999, 95.75]",eta,0.0908
90,146,421,0.5964,0.9479,"(95.75, 155.0]",eta,1.4405
91,228,667,0.0302,0.6394,"(217.5, 299.0]",eta,-1.3451
92,121,345,0.1574,0.5954,"(95.75, 155.0]",eta,-1.2913
93,295,869,0.2797,0.6060,"(217.5, 299.0]",eta,0.0031
94,195,567,0.0089,0.2948,"(155.0, 217.5]",eta,-1.9480
95,202,592,0.6988,0.9733,"(155.0, 217.5]",eta,1.0601
96,80,226,0.2366,0.6981,"(39.9999, 95.75]",eta,-0.3178
97,74,207,0.0553,0.6522,"(39.9999, 95.75]",eta,-3.1128
98,182,529,0.5484,0.8928,"(155.0, 217.5]",eta,-0.9079
99,76,212,0.5843,0.3884,"(39.9999, 95.75]",eta,0.9157
100,267,782,0.0667,0.5795,"(217.5, 299.0]",eta,-0.8849
101,41,112,0.5284,0.1927,"(39.9999, 95.75]",eta,1.2965
102,138,399,0.7183,0.7410,"(95.75, 155.0]",eta,0.7785
103,277,813,0.6464,0.3089,"(217.5, 299.0]",eta,1.7598
104,113,324,0.6207,0.4204,"(95.75, 155.0]",eta,1.7664
105,155,451,0.4912,0.3450,"(95.75, 155.0]",eta,1.0174
106,159,460,0.4514,0.2052,"(155.0, 217.5]",eta,0.1885
107,96,273,0.3762,0.6087,"(95.75, 155.0]",eta,-0.1643
108,236,689,0.6231,0.2504,"(217.5, 299.0]",eta,0.5953
109,292,853,0.4336,0.4095,"(217.5, 299.0]",eta,0.1332
110,248,726,0.1823,0.5892,"(217.5, 299.0]",eta,-0.2842
111,65,182,0.5444,0.7578,"(39.9999, 95.75]",eta,-0.7263
112,68,189,0.6415,0.1861,"(39.9999, 95.75]",eta,0.8496
113,66,185,0.3218,0.2231,"(39.9999, 95.75]",eta,-0.3555
114,94,267,0.4818,0.1468,"(39.9999, 95.75]",eta,0.5645
115,199,578,0.1521,0.6919,"(155.0, 217.5]",eta,0.3753
116,43,118,0.2723,0.9100,"(39.9999, 95.75]",eta,0.4110
117,202,590,0.1786,0.4696,"(155.0, 217.5]",eta,0.9217
118,295,864,0.6302,0.9451,"(217.5, 299.0]",eta,1.5280
119,274,802,0.5305,0.2928,"(217.5, 299.0]",eta,0.5100
120,231,678,0.1599,0.4551,"(217.5, 299.0]",eta,0.1369
121,224,656,0.0176,0.7098,"(217.5, 299.0]",eta,-1.3237
122,165,478,0.5115,0.5050,"(155.0, 217.5]",eta,-0.3387
123,145,418,0.0230,0.7119,"(95.75, 155.0]",eta,-1.5091
124,143,413,0.3613,0.2327,"(95.75, 155.0]",eta,0.7062
125,113,324,0.3103,0.0421,"(95.75, 155.0]",eta,-0.4783
126,215,629,0.3460,0.7358,"(155.0, 217.5]",eta,0.9099
127,183,534,0.2015,0.7198,"(155.0, 217.5]",eta,0.1564
128,242,708,0.4016,0.4818,"(217.5, 299.0]",eta,0.1207
129,115,331,0.1302,0.3769,"(95.75, 155.0]",eta,-0.6260
130,152,440,0.6041,0.3100,"(95.75, 155.0]",eta,0.5157
131,149,431,0.4284,0.3393,"(95.75, 155.0]",eta,0.3466
132,178,517,0.1166,0.2312,"(155.0, 217.5]",eta,-1.1959
133,173,502,0.5117,0.1302,"(155.0, 217.5]",eta,0.8577
134,147,424,0.6776,0.2550,"(95.75, 155.0]",eta,1.9822
135,247,725,0.4252,0.8633,"(217.5, 299.0]",eta,2.0424
136,95,271,0.3981,0.7290,"(39.9999, 95.75]",eta,-0.3702
137,177,514,0.4172,0.4975,"(155.0, 217.5]",eta,-1.1265
138,76,211,0.2371,0.5072,"(39.9999, 95.75]",eta,0.3943
139,217,637,0.0318,0.3087,"(155.0, 217.5]",eta,-1.9305
140,216,633,0.0516,0.5422,"(155.0, 217.5]",eta,-1.0847
141,116,333,0.3870,0.8938,"(95.75, 155.0]",eta,0.6284
142,177,512,0.2476,0.5433,"(155.0, 217.5]",eta,-0.0584
143,148,429,0.3529,0.1681,"(95.75, 155.0]",eta,-0.3848
144,248,726,0.3976,0.5305,"(217.5, 299.0]",eta,-0.3465
145,273,800,0.1906,0.1408,"(217.5, 299.0]",eta,-0.6606
146,164,475,0.7065,0.4660,"(155.0, 217.5]",eta,1.9131
147,258,761,0.0991,0.5657,"(217.5, 299.0]",eta,-0.2931
148,141,409,0.5065,0.3625,"(95.75, 155.0]",eta,1.0744
149,238,698,0.3369,0.6151,"(217.5, 299.0]",eta,0.0935
150,166,486,0.3906,0.8482,"(155.0, 217.5]",eta,-0.1904
151,230,671,0.0771,0.8282,"(217.5, 299.0]",eta,-0.6329
152,286,845,0.4414,0.5275,"(217.5, 299.0]",eta,-0.4269
153,199,580,0.4959,0.1182,"(155.0, 217.5]",eta,0.0794
154,88,251,0.0730,0.0558,"(39.9999, 95.75]",eta,-1.3772
155,198,579,0.4597,0.7857,"(155.0, 217.5]",eta,-0.2014
156,281,823,0.0282,0.6897,"(217.5, 299.0]",eta,-1.4178
157,226,656,0.2962,0.0410,"(217.5, 299.0]",eta,-0.2112
158,70,197,0.4947,0.1345,"(39.9999, 95.75]",eta,0.0812
159,189,551,0.1418,0.5837,"(155.0, 217.5]",eta,-0.1078
160,99,284,0.6935,0.9453,"(95.75, 155.0]",eta,1.5108
161,295,866,0.4063,0.4496,"(217.5, 299.0]",eta,0.4483
162,54,148,0.5747,0.5979,"(39.9999, 95.75]",eta,0.3899
163,171,497,0.6763,0.2908,"(155.0, 217.5]",eta,0.3096
164,80,226,0.5650,0.4324,"(39.9999, 95.75]",eta,1.0191
165,192,557,0.3794,0.2550,"(155.0, 217.5]",eta,-0.5862
166,76,216,0.6373,0.4894,"(39.9999, 95.75]",eta,0.6284
167,196,573,0.5679,0.1429,"(155.0, 217.5]",eta,0.1052
168,73,207,0.5444,0.3626,"(39.9999, 95.75]",eta,-0.6064
169,198,581,0.7080,0.0903,"(155.0, 217.5]",eta,1.0196
170,47,130,0.4531,0.9032,"(39.9999, 95.75]",eta,0.6573
171,60,166,0.4185,0.9450,"(39.9999, 95.75]",eta,-0.2055
172,59,163,0.4665,0.7594,"(39.9999, 95.75]",eta,0.3125
173,288,845,0.4916,0.3495,"(217.5, 299.0]",eta,-1.0956
174,219,637,0.1557,0.6055,"(217.5, 299.0]",eta,0.6867
175,243,712,0.3948,0.3318,"(217.5, 299.0]",eta,1.0286
176,63,176,0.4383,0.2000,"(39.9999, 95.75]",eta,0.1210
177,70,196,0.6616,0.8106,"(39.9999, 95.75]",eta,1.7452
178,247,723,0.1626,0.3328,"(217.5, 299.0]",eta,-0.2210
179,100,285,0.4905,0.9220,"(95.75, 155.0]",eta,-0.5477
180,76,212,0.6903,0.5431,"(39.9999, 95.75]",eta,0.9443
181,160,463,0.2422,0.1366,"(155.0, 217.5]",eta,0.0217
182,268,788,0.3367,0.1594,"(217.5, 299.0]",eta,-0.2456
183,280,825,0.5993,0.9524,"(217.5, 299.0]",eta,0.3976
184,86,240,0.3350,0.9539,"(39.9999, 95.75]",eta,0.4620
185,272,800,0.4556,0.9218,"(217.5, 299.0]",eta,0.0193
186,155,451,0.7090,0.2013,"(95.75, 155.0]",eta,1.0555
187,263,772,0.0049,0.7395,"(217.5, 299.0]",eta,-1.5507
188,84,237,0.6821,0.2640,"(39.9999, 95.75]",eta,3.1644
189,93,265,0.6459,0.1154,"(39.9999, 95.75]",eta,0.6151
190,71,198,0.3634,0.8928,"(39.9999, 95.75]",eta,-0.4336
191,60,166,0.3008,0.6317,"(39.9999, 95.75]",eta,-0.5035
192,283,836,0.4396,0.3827,"(217.5, 299.0]",eta,0.5131
193,167,482,0.5589,0.9759,"(155.0, 217.5]",eta,1.5247
194,168,486,0.2867,0.5778,"(155.0, 217.5]",eta,-0.4190
195,136,389,0.5227,0.8418,"(95.75, 155.0]",eta,0.2957
196,69,192,0.2816,0.6334,"(39.9999, 95.75]",eta,-0.0929
197,92,261,0.4922,0.4233,"(39.9999, 95.75]",eta,0.0451
198,64,180,0.2793,0.3268,"(39.9999, 95.75]",eta,-0.1605
199,118,338,0.4146,0.1766,"(95.75, 155.0]",eta,-1.3451
0,138,397,0.3056,0.9808,"(95.75, 155.0]",rho,0.4754
1,204,593,0.0606,0.7890,"(155.0, 217.5]",rho,-0.3389
2,127,362,0.7102,0.8281,"(95.75, 155.0]",rho,1.1622
3,205,598,0.6721,0.8599,"(155.0, 217.5]",rho,0.7362
4,97,276,0.0617,0.0594,"(95.75, 155.0]",rho,0.0463
5,223,650,0.1451,0.5733,"(217.5, 299.0]",rho,0.3275
6,205,598,0.0223,0.8939,"(155.0, 217.5]",rho,1.0946
7,268,787,0.0609,0.5438,"(217.5, 299.0]",rho,-1.6196
8,94,266,0.2451,0.8577,"(39.9999, 95.75]",rho,1.0972
9,132,380,0.4547,0.7167,"(95.75, 155.0]",rho,1.2581
10,55,151,0.1328,0.5048,"(39.9999, 95.75]",rho,0.7365
11,161,466,0.4442,0.9759,"(155.0, 217.5]",rho,1.0116
12,79,223,0.2396,0.7592,"(39.9999, 95.75]",rho,-0.6657
13,94,269,0.0139,0.2653,"(39.9999, 95.75]",rho,-0.8644
14,56,156,0.7095,0.1360,"(39.9999, 95.75]",rho,-1.6891
15,208,607,0.3550,0.0958,"(155.0, 217.5]",rho,0.5240
16,166,485,0.4904,0.8273,"(155.0, 217.5]",rho,0.8761
17,167,479,0.5269,0.8364,"(155.0, 217.5]",rho,0.4005
18,102,289,0.6593,0.0116,"(95.75, 155.0]",rho,-0.9934
19,99,281,0.5103,0.8012,"(95.75, 155.0]",rho,1.6073
20,248,726,0.6088,0.3530,"(217.5, 299.0]",rho,0.6599
21,274,804,0.2921,0.3062,"(217.5, 299.0]",rho,-0.1474
22,124,355,0.2938,0.5234,"(95.75, 155.0]",rho,0.2968
23,66,186,0.6749,0.5387,"(39.9999, 95.75]",rho,-1.0942
24,195,571,0.1373,0.2931,"(155.0, 217.5]",rho,-0.2163
25,152,440,0.3853,0.8504,"(95.75, 155.0]",rho,-0.1620
26,115,333,0.0276,0.9580,"(95.75, 155.0]",rho,0.6651
27,239,701,0.2673,0.5122,"(217.5, 299.0]",rho,1.6752
28,224,655,0.1862,0.7073,"(217.5, 299.0]",rho,-1.2595
29,147,427,0.6391,0.0226,"(95.75, 155.0]",rho,-0.9423
30,83,234,0.0119,0.1217,"(39.9999, 95.75]",rho,0.1344
31,139,401,0.4439,0.7017,"(95.75, 155.0]",rho,0.5477
32,110,313,0.1530,0.1140,"(95.75, 155.0]",rho,-0.4522
33,93,262,0.5013,0.0189,"(39.9999, 95.75]",rho,-1.4358
34,168,485,0.1341,0.4110,"(155.0, 217.5]",rho,-0.0660
35,71,195,0.2250,0.6321,"(39.9999, 95.75]",rho,-0.5417
36,97,275,0.4230,0.8448,"(95.75, 155.0]",rho,0.6767
37,240,701,0.4336,0.7440,"(217.5, 299.0]",rho,0.5465
38,98,276,0.4911,0.4086,"(95.75, 155.0]",rho,-1.0499
39,44,119,0.2632,0.2717,"(39.9999, 95.75]",rho,0.7477
40,184,536,0.5459,0.3698,"(155.0, 217.5]",rho,2.6636
41,223,653,0.6751,0.1988,"(217.5, 299.0]",rho,0.1237
42,213,624,0.0637,0.2080,"(155.0, 217.5]",rho,-0.5330
43,137,397,0.0461,0.5805,"(95.75, 155.0]",rho,2.2655
44,198,571,0.4034,0.1210,"(155.0, 217.5]",rho,0.5535
45,167,488,0.2461,0.3282,"(155.0, 217.5]",rho,-2.0228
46,114,331,0.4000,0.9472,"(95.75, 155.0]",rho,0.4843
47,161,470,0.7358,0.7401,"(155.0, 217.5]",rho,-0.1907
48,136,393,0.6621,0.7125,"(95.75, 155.0]",rho,1.3921
49,215,626,0.4138,0.4943,"(155.0, 217.5]",rho,-0.3510
50,247,723,0.5872,0.4909,"(217.5, 299.0]",rho,0.0525
51,76,214,0.7958,0.9155,"(39.9999, 95.75]",rho,0.5309
52,127,368,0.3482,0.6537,"(95.75, 155.0]",rho,0.3179
53,104,296,0.2617,0.2123,"(95.75, 155.0]",rho,0.5802
54,163,474,0.5458,0.1011,"(155.0, 217.5]",rho,0.7544
55,137,395,0.2876,0.6566,"(95.75, 155.0]",rho,0.3245
56,48,130,0.7707,0.9272,"(39.9999, 95.75]",rho,0.5335
57,40,104,0.3572,0.7494,"(39.9999, 95.75]",rho,0.6229
58,173,500,0.6417,0.3764,"(155.0, 217.5]",rho,0.4772
59,109,314,0.3763,0.7287,"(95.75, 155.0]",rho,-0.3623
60,274,805,0.5905,0.2661,"(217.5, 299.0]",rho,-0.1172
61,288,848,0.2618,0.5276,"(217.5, 299.0]",rho,1.0043
62,125,361,0.2566,0.3498,"(95.75, 155.0]",rho,-1.1009
63,89,251,0.5745,0.8620,"(39.9999, 95.75]",rho,0.5615
64,176,509,0.5792,0.6555,"(155.0, 217.5]",rho,-0.1271
65,291,853,0.1698,0.3024,"(217.5, 299.0]",rho,-1.2207
66,141,406,0.3022,0.3023,"(95.75, 155.0]",rho,-1.6199
67,208,606,0.1176,0.4836,"(155.0, 217.5]",rho,-0.5547
68,221,650,0.7415,0.9678,"(217.5, 299.0]",rho,1.9645
69,154,443,0.0959,0.2455,"(95.75, 155.0]",rho,0.7587
70,274,805,0.6607,0.0890,"(217.5, 299.0]",rho,0.8334
71,211,617,0.3569,0.7607,"(155.0, 217.5]",rho,0.2013
72,285,839,0.4363,0.5266,"(217.5, 299.0]",rho,0.1259
73,108,309,0.6708,0.0498,"(95.75, 155.0]",rho,-0.5299
74,117,334,0.3374,0.9514,"(95.75, 155.0]",rho,1.0203
75,280,824,0.0161,0.0869,"(217.5, 299.0]",rho,0.6609
76,254,742,0.0106,0.0767,"(217.5, 299.0]",rho,0.0182
77,215,624,0.4873,0.3495,"(155.0, 217.5]",rho,-0.3665
78,60,167,0.0353,0.0363,"(39.9999, 95.75]",rho,-0.0710
79,150,438,0.2857,0.2673,"(95.75, 155.0]",rho,-0.7928
80,59,163,0.3158,0.1914,"(39.9999, 95.75]",rho,-1.9093
81,299,876,0.6139,0.4092,"(217.5, 299.0]",rho,1.1916
82,137,395,0.1484,0.5933,"(95.75, 155.0]",rho,-0.9175
83,214,626,0.2300,0.6132,"(155.0, 217.5]",rho,0.3442
84,115,326,0.0467,0.4849,"(95.75, 155.0]",rho,1.3139
85,66,184,0.5291,0.1741,"(39.9999, 95.75]",rho,0.8782
86,151,434,0.4412,0.2839,"(95.75, 155.0]",rho,-0.4401
87,220,645,0.1423,0.1920,"(217.5, 299.0]",rho,0.2438
88,92,261,0.5383,0.2052,"(39.9999, 95.75]",rho,1.0834
89,49,134,0.2354,0.8756,"(39.9999, 95.75]",rho,0.5492
90,146,421,0.5964,0.9479,"(95.75, 155.0]",rho,1.0521
91,228,667,0.0302,0.6394,"(217.5, 299.0]",rho,-1.0505
92,121,345,0.1574,0.5954,"(95.75, 155.0]",rho,-0.7131
93,295,869,0.2797,0.6060,"(217.5, 299.0]",rho,-0.9934
94,195,567,0.0089,0.2948,"(155.0, 217.5]",rho,-1.5832
95,202,592,0.6988,0.9733,"(155.0, 217.5]",rho,0.5491
96,80,226,0.2366,0.6981,"(39.9999, 95.75]",rho,0.1527
97,74,207,0.0553,0.6522,"(39.9999, 95.75]",rho,-0.5986
98,182,529,0.5484,0.8928,"(155.0, 217.5]",rho,1.4668
99,76,212,0.5843,0.3884,"(39.9999, 95.75]",rho,0.7611
100,267,782,0.0667,0.5795,"(217.5, 299.0]",rho,-0.2301
101,41,112,0.5284,0.1927,"(39.9999, 95.75]",rho,0.1374
102,138,399,0.7183,0.7410,"(95.75, 155.0]",rho,0.1298
103,277,813,0.6464,0.3089,"(217.5, 299.0]",rho,-2.3857
104,113,324,0.6207,0.4204,"(95.75, 155.0]",rho,-1.3968
105,155,451,0.4912,0.3450,"(95.75, 155.0]",rho,1.6257
106,159,460,0.4514,0.2052,"(155.0, 217.5]",rho,0.6726
107,96,273,0.3762,0.6087,"(95.75, 155.0]",rho,-0.1441
108,236,689,0.6231,0.2504,"(217.5, 299.0]",rho,-1.7351
109,292,853,0.4336,0.4095,"(217.5, 299.0]",rho,0.7802
110,248,726,0.1823,0.5892,"(217.5, 299.0]",rho,0.1522
111,65,182,0.5444,0.7578,"(39.9999, 95.75]",rho,0.6986
112,68,189,0.6415,0.1861,"(39.9999, 95.75]",rho,0.9112
113,66,185,0.3218,0.2231,"(39.9999, 95.75]",rho,1.3452
114,94,267,0.4818,0.1468,"(39.9999, 95.75]",rho,0.0707
115,199,578,0.1521,0.6919,"(155.0, 217.5]",rho,-0.3190
116,43,118,0.2723,0.9100,"(39.9999, 95.75]",rho,0.5701
117,202,590,0.1786,0.4696,"(155.0, 217.5]",rho,-0.3732
118,295,864,0.6302,0.9451,"(217.5, 299.0]",rho,0.2816
