dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
81,299,876,0.6139,0.4092,"(217.5, 299.0]",beta_0,-0.5973
82,137,395,0.1484,0.5933,"(95.75, 155.0]",beta_0,0.0738
83,214,626,0.2300,0.6132,"(155.0, 217.5]",beta_0,0.2926
84,115,326,0.0467,0.4849,"(95.75, 155.0]",beta_0,0.2034
85,66,184,0.5291,0.1741,"(39.9999, 95.75]",beta_0,0.4283
86,151,434,0.4412,0.2839,"(95.75, 155.0]",beta_0,0.0123
87,220,645,0.1423,0.1920,"(217.5, 299.0]",beta_0,-0.6889
88,92,261,0.5383,0.2052,"(39.9999, 95.75]",beta_0,-0.8074
89,49,134,0.2354,0.8756,"(39.9999, 95.75]",beta_0,0.6111
90,146,421,0.5964,0.9479,"(95.75, 155.0]",beta_0,-0.5217
91,228,667,0.0302,0.6394,"(217.5, 299.0]",beta_0,-0.8360
92,121,345,0.1574,0.5954,"(95.75, 155.0]",beta_0,0.4267
93,295,869,0.2797,0.6060,"(217.5, 299.0]",beta_0,0.2861
94,195,567,0.0089,0.2948,"(155.0, 217.5]",beta_0,-0.2930
95,202,592,0.6988,0.9733,"(155.0, 217.5]",beta_0,-0.1683
96,80,226,0.2366,0.6981,"(39.9999, 95.75]",beta_0,0.4699
97,74,207,0.0553,0.6522,"(39.9999, 95.75]",beta_0,-0.3498
98,182,529,0.5484,0.8928,"(155.0, 217.5]",beta_0,-0.2700
99,76,212,0.5843,0.3884,"(39.9999, 95.75]",beta_0,-0.5333
100,267,782,0.0667,0.5795,"(217.5, 299.0]",beta_0,0.6107
101,41,112,0.5284,0.1927,"(39.9999, 95.75]",beta_0,-0.0019
102,138,399,0.7183,0.7410,"(95.75, 155.0]",beta_0,0.0269
103,277,813,0.6464,0.3089,"(217.5, 299.0]",beta_0,0.1443
104,113,324,0.6207,0.4204,"(95.75, 155.0]",beta_0,0.7852
105,155,451,0.4912,0.3450,"(95.75, 155.0]",beta_0,0.7935
106,159,460,0.4514,0.2052,"(155.0, 217.5]",beta_0,-0.4177
107,96,273,0.3762,0.6087,"(95.75, 155.0]",beta_0,0.1976
108,236,689,0.6231,0.2504,"(217.5, 299.0]",beta_0,0.1643
109,292,853,0.4336,0.4095,"(217.5, 299.0]",beta_0,-0.2541
110,248,726,0.1823,0.5892,"(217.5, 299.0]",beta_0,-0.4202
111,65,182,0.5444,0.7578,"(39.9999, 95.75]",beta_0,0.1414
112,68,189,0.6415,0.1861,"(39.9999, 95.75]",beta_0,-0.0996
113,66,185,0.3218,0.2231,"(39.9999, 95.75]",beta_0,-0.9882
114,94,267,0.4818,0.1468,"(39.9999, 95.75]",beta_0,0.0957
115,199,578,0.1521,0.6919,"(155.0, 217.5]",beta_0,-0.0287
116,43,118,0.2723,0.9100,"(39.9999, 95.75]",beta_0,-0.2219
117,202,590,0.1786,0.4696,"(155.0, 217.5]",beta_0,-0.6112
118,295,864,0.6302,0.9451,"(217.5, 299.0]",beta_0,0.1145
119,274,802,0.5305,0.2928,"(217.5, 299.0]",beta_0,0.3624
120,231,678,0.1599,0.4551,"(217.5, 299.0]",beta_0,-0.5577
121,224,656,0.0176,0.7098,"(217.5, 299.0]",beta_0,0.6074
122,165,478,0.5115,0.5050,"(155.0, 217.5]",beta_0,1.1756
123,145,418,0.0230,0.7119,"(95.75, 155.0]",beta_0,1.2208
124,143,413,0.3613,0.2327,"(95.75, 155.0]",beta_0,0.0870
125,113,324,0.3103,0.0421,"(95.75, 155.0]",beta_0,-0.2318
126,215,629,0.3460,0.7358,"(155.0, 217.5]",beta_0,0.5280
127,183,534,0.2015,0.7198,"(155.0, 217.5]",beta_0,-0.0230
128,242,708,0.4016,0.4818,"(217.5, 299.0]",beta_0,-0.6059
129,115,331,0.1302,0.3769,"(95.75, 155.0]",beta_0,-0.2291
130,152,440,0.6041,0.3100,"(95.75, 155.0]",beta_0,0.1223
131,149,431,0.4284,0.3393,"(95.75, 155.0]",beta_0,0.0703
132,178,517,0.1166,0.2312,"(155.0, 217.5]",beta_0,0.0353
133,173,502,0.5117,0.1302,"(155.0, 217.5]",beta_0,0.4012
134,147,424,0.6776,0.2550,"(95.75, 155.0]",beta_0,-0.2812
135,247,725,0.4252,0.8633,"(217.5, 299.0]",beta_0,0.5293
136,95,271,0.3981,0.7290,"(39.9999, 95.75]",beta_0,-0.0071
137,177,514,0.4172,0.4975,"(155.0, 217.5]",beta_0,0.7002
138,76,211,0.2371,0.5072,"(39.9999, 95.75]",beta_0,0.9663
139,217,637,0.0318,0.3087,"(155.0, 217.5]",beta_0,-0.4200
140,216,633,0.0516,0.5422,"(155.0, 217.5]",beta_0,-0.3423
141,116,333,0.3870,0.8938,"(95.75, 155.0]",beta_0,0.7270
142,177,512,0.2476,0.5433,"(155.0, 217.5]",beta_0,-0.2701
143,148,429,0.3529,0.1681,"(95.75, 155.0]",beta_0,-0.3317
144,248,726,0.3976,0.5305,"(217.5, 299.0]",beta_0,0.0795
145,273,800,0.1906,0.1408,"(217.5, 299.0]",beta_0,-0.1043
146,164,475,0.7065,0.4660,"(155.0, 217.5]",beta_0,-1.2890
147,258,761,0.0991,0.5657,"(217.5, 299.0]",beta_0,-0.3626
148,141,409,0.5065,0.3625,"(95.75, 155.0]",beta_0,0.4383
149,238,698,0.3369,0.6151,"(217.5, 299.0]",beta_0,0.5418
150,166,486,0.3906,0.8482,"(155.0, 217.5]",beta_0,0.6857
151,230,671,0.0771,0.8282,"(217.5, 299.0]",beta_0,0.9594
152,286,845,0.4414,0.5275,"(217.5, 299.0]",beta_0,0.4342
153,199,580,0.4959,0.1182,"(155.0, 217.5]",beta_0,-0.4946
154,88,251,0.0730,0.0558,"(39.9999, 95.75]",beta_0,-0.1697
