"parameter","median","lower_95","upper_95"
"beta_0",-0.219620750845822,-0.242908391730303,-0.197151737362687
"alpha",0.672910028925964,0.623543494892628,0.68782319351746
"tau2",0.135384010642635,0.096727537294838,0.191653528392079
