"parameter","median","lower_95","upper_95"
"beta_0",-0.219649277034761,-0.243026952248891,-0.196724636728943
"alpha",0.670212507472211,0.621294527359027,0.685245735254772
"tau2",0.135466988255967,0.0964318721704536,0.190184454399447
