parameter,median,lower_95,upper_95
beta_0,-0.23933134973049164,-0.30894983410835264,-0.17166344746947293
sigma2_w,0.3360098788467345,0.07744169655635687,1.0969554096095
eta_raw,0.7181288448836949,0.100569421711475,0.9825358082132974
eta,0.8313908176936845,0.11643104764191127,1.1374995654659654
rho,0.8779248962012725,0.4486673015986164,0.975360507603671
