comparison,abi_parameter,car_parameter,abi_median,abi_lower_95,abi_upper_95,car_median,car_lower_95,car_upper_95
intercept,beta_0,beta_0,-0.23917316645383835,-0.3087191104888916,-0.171293855458498,-0.219620750845822,-0.242908391730303,-0.197151737362687
variance_scale,sigma2_w,tau2,0.33762297241891076,0.07906692163330266,1.1017401837781002,0.135384010642635,0.096727537294838,0.191653528392079
boundary_strength,eta,alpha,0.8316903489208516,0.11872680192669115,1.1377500068856892,0.672910028925964,0.623543494892628,0.68782319351746
spatial_dependence,rho,,0.8783188065122878,0.45132526658831307,0.9754315546176805,,,
