"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_dagarbayes"
1,"alameda",3416,3429.35119454417,11.5,-0.724135629087917,3421.41864617081,0.997686866137834
2,"alpine",2,3.55550755919808,12.6,-0.466035890899039,3.72175369243698,1.04675735614985
3,"amador",209,144.847881111858,12.6,-0.466035890899039,198.018346683454,1.36707796595613
4,"butte",849,612.78692441376,15.9,0.308263323667594,842.535634725443,1.3749243026546
5,"calaveras",191,178.223311061036,12.6,-0.466035890899039,197.36233554634,1.10738788529605
6,"colusa",57,47.7002044065521,18.9,1.01217170054635,60.952474380852,1.27782417579073
7,"contra costa",2665,2647.86255719695,12.6,-0.466035890899039,2674.878243467,1.01020282801183
8,"del norte",93,72.3113363377492,24.7,2.37306122917862,87.5114270134448,1.21020342653743
9,"el dorado",593,552.26773898515,15.9,0.308263323667594,601.34190115717,1.08885936785335
10,"fresno",1946,1819.4667009013,19.1,1.0590989256716,1939.82855268262,1.06615226963027
11,"glenn",101,68.7781574989411,18.9,1.01217170054635,97.5168587388692,1.41784633792161
12,"humboldt",463,344.54311150598,14.4,-0.0436908647717849,451.383819165657,1.31009387241173
13,"imperial",322,355.083168883852,10.2,-1.02916259240205,333.926329448308,0.940417228160806
14,"inyo",71,63.0410966168786,12.6,-0.466035890899039,67.6275221312541,1.07275294626058
15,"kern",1687,1503.25668737611,14.7,0.0266999729160906,1666.40654821198,1.10853093966317
16,"kings",237,243.306713139417,13.9,-0.161008927584911,237.38566135076,0.975664248173604
17,"lake",367,213.482552419816,25.5,2.56077012967962,350.319490560259,1.64097480843002
18,"lassen",76,68.7666044644875,15.3,0.167481648291842,75.859434122029,1.1031435202127
19,"los angeles",18305,20958.8768282324,11.6,-0.700672016525292,18313.3464957537,0.87377518584798
20,"madera",361,326.839799897474,10.6,-0.935308142151544,358.457005482373,1.09673609393598
21,"marin",680,823.258889818088,8.9,-1.33418955571617,692.945145275121,0.841709884758412
22,"mariposa",76,70.2288814001238,19.2,1.08256253823423,76.7870675273693,1.09338303553321
23,"mendocino",305,262.973164462428,15,0.0970908106039665,312.292011681373,1.18754327012706
24,"merced",537,472.457272054644,16.4,0.42558138648072,531.960081310669,1.12594326042915
25,"modoc",32,34.327349992298,15.3,0.167481648291842,37.1675931202245,1.08273994725966
26,"mono",20,31.8834487139292,12.6,-0.466035890899039,30.2400578249025,0.948456300829565
27,"monterey",763,876.750814479617,10.6,-0.935308142151544,772.47912243724,0.881070322011317
28,"napa",429,390.569207692404,15.6,0.237872485979718,427.033443100482,1.09336177734932
29,"nevada",345,366.178227354089,15.3,0.167481648291842,351.781371894516,0.960683474919848
30,"orange",6508,6984.76624497194,11.1,-0.817990079338418,6514.15481607352,0.932623166990421
31,"placer",1118,1057.30422304696,9,-1.31072594315355,1117.7034597186,1.05712569320643
32,"plumas",74,75.1733838477286,15.3,0.167481648291842,84.2219670222713,1.12036950728294
33,"riverside",5294,5091.77767508624,11.8,-0.653744791400041,5291.56983467235,1.03923819387553
34,"sacramento",4078,3178.41685455885,15.9,0.308263323667594,4066.85663237096,1.27952273677942
35,"san benito",108,115.652348397862,10.5,-0.95877175471417,108.657014908575,0.939514124994487
36,"san bernardino",3871,3777.89398441496,13.8,-0.184472540147536,3865.5689479314,1.02320736470587
37,"san diego",7177,6953.91146271465,11,-0.841453691901043,7171.25423723965,1.03125475147194
38,"san francisco",2288,2086.24909095653,10.8,-0.888380917026294,2283.74886680626,1.09466739935603
39,"san joaquin",1764,1416.81977219077,13.8,-0.184472540147536,1754.23935930832,1.23815279384181
40,"san luis obispo",813,790.697362486689,13,-0.372181440648538,807.016673252495,1.02063913646364
41,"san mateo",1773,1871.88580984894,6.7,-1.85038903209393,1776.48913001111,0.949037126444412
42,"santa barbara",957,1016.4421811964,11.1,-0.817990079338418,963.449165044379,0.947864209954721
43,"santa clara",3720,3985.25319381782,8.6,-1.40458039340405,3725.6079745115,0.934848501041515
44,"santa cruz",538,624.834013179983,10.5,-0.95877175471417,542.779213499481,0.868677444009652
45,"shasta",787,545.879875936878,20.6,1.41105311411098,770.937085131092,1.41228339624712
46,"sierra",8,12.7682175045562,15.3,0.167481648291842,12.9255590504538,1.01232290614109
47,"siskiyou",189,156.711900731642,24.7,2.37306122917862,191.711104919956,1.22333469267434
48,"solano",1209,990.207637380883,11.5,-0.724135629087917,1198.30695971791,1.2101572584185
49,"sonoma",1391,1359.60689337422,12.7,-0.442572278336414,1392.41145766219,1.02412797732038
50,"stanislaus",1252,1076.72278159846,16.5,0.449044999043345,1245.62475805025,1.15686672497172
51,"sutter",276,225.707654073861,14.9,0.0736271980413414,276.477067904288,1.22493439151963
52,"tehama",269,183.463229850759,18.9,1.01217170054635,262.437659041116,1.43046461819407
53,"trinity",72,51.2427743252101,24.7,2.37306122917862,69.6741487879663,1.35968728675349
54,"tulare",747,807.263747877693,16.9,0.542899449293846,757.355555711905,0.9381761013089
55,"tuolumne",202,201.14318731315,19.2,1.08256253823423,207.974240255492,1.03396114496141
56,"ventura",1795,1942.27071419704,10.4,-0.982235367276795,1798.07247587589,0.925757909406175
57,"yolo",405,399.279352588685,11.5,-0.724135629087917,418.609798085841,1.04841333610624
58,"yuba",225,143.679100009962,22.3,1.80993452767561,212.202925190514,1.47692270605677
