"draw","beta_0","sigma2_w","eta","rho"
1,0.0919852388486268,0.0237167423149094,0.432406529006764,0.530778458526492
2,0.0859870389587901,0.0238616866578269,0.436178015747891,0.350338584152148
3,0.0900396662459521,0.0566069523076183,0.313629696548766,0.648073206010383
4,0.100097101237372,0.0252353203055729,0.441225978878341,0.479489838659865
5,0.0974597955323995,0.0455598674583959,0.433277105159174,0.779466074727078
6,0.109348014895187,0.0242855590917782,0.43435325089793,0.480914029240656
7,0.0869616447672308,0.0257673280224888,0.452401467361359,0.373651307017512
8,0.0994655202020413,0.0274399179570445,0.34740681256814,0.576207497906188
9,0.0958052522649483,0.0346385265281727,0.446764761571626,0.533958394286993
10,0.0911070011889678,0.0387658425617831,0.434630605877436,0.637895233401563
11,0.0913272678096211,0.0195595333699722,0.451078140714979,0.458358827179366
12,0.0838081206438781,0.0250295940148835,0.325487251910529,0.429812871674949
13,0.0851711425903951,0.0190799005747606,0.430718397325414,0.360741834371105
14,0.0875042516550708,0.0381260144464857,0.433115812661257,0.726231817052797
15,0.080921599552683,0.0294353103176887,0.448008142394299,0.466799352006589
16,0.0999155161418767,0.0294663297018268,0.429873274412063,0.659945249200766
17,0.0913280997010231,0.0192782857002542,0.427969306584009,0.484015459267878
18,0.0866907430745057,0.0370111279089077,0.42854190695806,0.650483057076634
19,0.108700048019685,0.0195346699532657,0.386847286974646,0.417766132614657
20,0.0876869088901504,0.0489784849101611,0.28367712320721,0.642459135200705
21,0.0963599837817365,0.016076664459545,0.445343339746,0.168084009434235
22,0.0834824535873425,0.0218571638980457,0.435626606471229,0.529397875954144
23,0.105953458636151,0.0448256210217568,0.445386380138752,0.716710737491518
24,0.0875138829922969,0.0276574409407093,0.449429488685215,0.806903208973513
25,0.0784936219093415,0.0318586784627773,0.433076908244262,0.48782206742584
26,0.0828905793789297,0.029567090188425,0.438740639794549,0.532133006967453
27,0.0930635828715562,0.0624912486473487,0.445147246849818,0.797674670075762
28,0.097243863813796,0.0532786897117969,0.441499142029627,0.765076030796805
29,0.0941660608403495,0.0202152255200163,0.432131589224547,0.503701761148608
30,0.101757289362168,0.0398549642845435,0.45002055902058,0.684026106781533
31,0.0785219010054522,0.0463507985422203,0.433860453885006,0.638664172962765
32,0.0964171659011316,0.0371251842161457,0.434230939744888,0.670520777856806
33,0.0794216943310131,0.0433868667801193,0.440286221145692,0.697498785449517
34,0.0782029669287098,0.0270956317392994,0.42991036689167,0.661356353311277
35,0.0858317420036988,0.0375678270807204,0.437134587669565,0.532456074287757
36,0.0813357467802801,0.0284308992430564,0.442551011555238,0.683281956051461
37,0.0961991828207411,0.0510114263228197,0.441362930515378,0.871590429791661
38,0.0993690603987516,0.0452381431482164,0.436650032852286,0.766633673550515
39,0.0836618076887373,0.0200041136335988,0.397567930484013,0.368282221723784
40,0.0867201626022846,0.034828378204277,0.449827644693283,0.553154888794404
41,0.102853363866847,0.0377962581313296,0.454550046508964,0.692830285707213
42,0.0877582752648331,0.0187634361681471,0.351017641395724,0.540537844856479
43,0.105640509461649,0.0166456163247352,0.319420598357545,0.559572307396665
44,0.0979474661543775,0.0179780932398301,0.43822917372902,0.488878516986541
45,0.107997695519171,0.0433504457836485,0.429811417348686,0.703776896415842
46,0.0980462735825965,0.0231323002617215,0.406411377173007,0.586443844921773
47,0.0772864093718941,0.0227617363545193,0.449974234684717,0.404776731234199
48,0.0914545741982521,0.0211305402637408,0.440295413278583,0.432673147210794
49,0.0894435952441682,0.0285039261771058,0.34699722753504,0.364217594045913
50,0.0888483840574515,0.0443358316185046,0.370876397240223,0.663077351428784
51,0.0975816976391546,0.0240619825225209,0.453128019561897,0.527139105989432
52,0.0917596005434711,0.0263953662430719,0.443425241081532,0.561131770181351
53,0.0944439102006261,0.0358029458825264,0.44017212619502,0.653000379946691
54,0.0803458192651045,0.0247210335820419,0.449892265684987,0.381280583442484
55,0.105109859744899,0.0244786261000096,0.444624114764198,0.523857810299479
56,0.0940124516708481,0.0612881630310118,0.346564132117494,0.794995473618385
57,0.0972582902262728,0.0329077598607227,0.435604115456068,0.685561066684193
58,0.0862738492412001,0.0417280455010226,0.447524162870216,0.807148539256418
59,0.0927687548596842,0.0626242084456391,0.43843010668312,0.817479367033073
60,0.0905744039885945,0.0359827426851888,0.440967202203078,0.664593989404516
61,0.0791487867606857,0.0454074264056745,0.447683028813537,0.742822841945554
62,0.1097330042467,0.0269361792392534,0.448637792935613,0.608103508259664
63,0.0821811034302801,0.0271287948230274,0.451282904593559,0.555853286303186
64,0.102575371290543,0.0589320059883226,0.435946884881236,0.753833115694197
65,0.0843370718468366,0.0354930042342108,0.442485518610717,0.576890756712766
66,0.0999417156817829,0.028763089678815,0.431784403122137,0.543447880907218
67,0.0819827991600721,0.032954330833242,0.429247159057598,0.632233652680279
68,0.0926080907029811,0.0175222095630218,0.427535287715611,0.53382459012968
69,0.0826790019764244,0.0212087340542191,0.342021289364788,0.310045114909641
70,0.102376231468432,0.0384226054946454,0.282288956801465,0.569276553830413
71,0.0711866929684135,0.0180525258933839,0.0684775428821146,0.299692601838727
72,0.091077126336868,0.0258964228130003,0.0183516867808371,0.24727944370577
73,0.0961644943753595,0.0227271762718877,0.261103634663875,0.348195880678922
74,0.108217281106286,0.0187063643020273,0.382483409809109,0.398131383838213
75,0.0902786515961698,0.0150907110213273,0.431576378942736,0.476354397158053
76,0.0805514485960483,0.0395779218308152,0.462787084058603,0.606145641216539
77,0.10370561840023,0.0247528838039233,0.439796325209529,0.591387452555171
78,0.0825718574051352,0.0192016650797372,0.371782442750659,0.385128345478141
79,0.0812773379244022,0.0183434119490597,0.438565724175406,0.43221449387025
80,0.0796395953359657,0.0354585617826922,0.442662732740367,0.460510528480397
81,0.111188288175802,0.0173404501575459,0.422532606882347,0.348685568520143
82,0.0826763686964326,0.0591230705653198,0.430717272899601,0.657534114704188
83,0.0964671228075259,0.0237203816262355,0.38152182075862,0.50373933362985
84,0.0906996898065353,0.0335398769006528,0.285944751762525,0.572334940931076
85,0.0893997829685381,0.019337473675616,0.224746250787418,0.288036575849711
86,0.0961324614211051,0.0415505549151524,0.421479470509533,0.67706324603195
87,0.0998612449661732,0.0329308702355326,0.43892941038556,0.645115928599643
88,0.10490850143231,0.0296220438721043,0.450851370284411,0.680989295665125
89,0.0988339662009038,0.0376608687646488,0.427890288909869,0.381347890268726
90,0.110854161678698,0.0467059399970663,0.450608723590395,0.798668493683328
91,0.0847080186717378,0.102893577675545,0.430733789427759,0.849225562749843
92,0.089090797310496,0.0978058710954658,0.445291776605541,0.858708241033088
93,0.0975324975669418,0.0471995137506485,0.4432680551178,0.821900269877178
94,0.0850270210187581,0.0434770718057791,0.441467925711436,0.711099123108556
95,0.0910057534632316,0.0268991378000524,0.445342637961674,0.415110879206216
96,0.0892899345697978,0.0286744752145225,0.442080103121997,0.486721238985246
97,0.0875260153526712,0.0470302339831628,0.437898619928225,0.731783101179989
98,0.107235899163162,0.0227424929936062,0.439501706449319,0.62804529921426
99,0.090234977536084,0.0192693050038026,0.39506193366245,0.479124339590658
100,0.0943041879788687,0.0218761374640091,0.416463181689976,0.399700886626381
101,0.0972143093589865,0.0246967889316025,0.433691656255476,0.570340383730934
102,0.0984848202055853,0.0169407056305897,0.393697095403646,0.359998734258382
103,0.093008710127732,0.0293976791838536,0.437476222627224,0.507427637399962
104,0.0828091802240794,0.0202063303476121,0.449834747903132,0.579719457639918
105,0.093472586138563,0.0272866258632646,0.381539812197716,0.516262071447459
106,0.104435677687081,0.0460058167730389,0.442028529011085,0.62254521004492
107,0.0904258756136509,0.0316279322386385,0.431743418777563,0.659385433234914
108,0.0890508235216906,0.0259058753083012,0.468804985368273,0.471752920269123
109,0.0778041959766426,0.0207953646062199,0.451446195990917,0.495078801610807
110,0.0949829901748567,0.0249864388095835,0.435323879942229,0.50636769130681
111,0.0861259117451106,0.0415027835974844,0.426793059552637,0.732580410537799
112,0.0877543880990463,0.0313229801868331,0.434792886138634,0.74424575922266
113,0.0924390893211988,0.057447483845124,0.371899957895512,0.733784711926781
114,0.0844121564310532,0.121660049117945,0.372468874990406,0.829441253124763
115,0.0864641007438708,0.15667130160105,0.449865259000249,0.897338738764937
116,0.0966106039038457,0.0190379168525003,0.396280430619996,0.470499438030285
117,0.0773179550993315,0.0186782522207495,0.449772981105133,0.404540042577559
118,0.0880356173340351,0.0266215574735238,0.429670531010704,0.468331487294018
119,0.101556043587639,0.0264489764568664,0.426261300996438,0.630235759240711
120,0.0891899432851709,0.0214883950867005,0.417156118098187,0.357802374842452
121,0.111606499339958,0.0221756633814493,0.437265743146344,0.370262052989806
122,0.103600364499146,0.025390827752459,0.394308550518057,0.414506952862888
123,0.105285866873542,0.0263977290098399,0.402756627393786,0.407886923042368
124,0.0845587602683356,0.0391787169337311,0.443775566505308,0.611663430635847
125,0.0899989583403791,0.0293029920097644,0.447841650535891,0.547391224598282
126,0.0834374434379812,0.0413179172890714,0.510453787269417,0.554057072786744
127,0.0922309252339742,0.0279886841103114,0.456957526873375,0.464395765776995
128,0.0865453100472783,0.0391312667819292,0.433946456540855,0.624234296758001
129,0.0775602089283529,0.0739724045852736,0.429463172670957,0.77819798236162
130,0.0898887412308042,0.034745030790424,0.429518090956971,0.414258953353099
131,0.0942962222741916,0.0271450719912621,0.431803744171834,0.464024771218037
132,0.0862629857406853,0.0291180927524089,0.449734354970446,0.469493021571425
133,0.0868202969803733,0.0708729608736714,0.455925553704954,0.831589522009379
134,0.0780872702876717,0.0953783411959943,0.440820365941169,0.84274059736799
135,0.0928841475711007,0.0967901877890165,0.450604621890411,0.843297062876462
136,0.090025488797252,0.0402253029324338,0.443738975745883,0.659227051328541
137,0.10410144932012,0.0433219070628554,0.436715019147583,0.807538578183811
138,0.093626493540206,0.0171496322813327,0.317053355661413,0.339410945264439
139,0.0808291335404818,0.0178910804135139,0.344515006362686,0.2633802238272
140,0.103135547201439,0.0300054534146574,0.406190777163304,0.608664509248298
141,0.0974989164053422,0.0505505771895342,0.441332617340247,0.69238276181173
142,0.0956970895250266,0.0312211586295402,0.445306788677088,0.570224749018015
143,0.0780927933547844,0.016298915707295,0.435833390501762,0.391396917967823
144,0.0821472838616551,0.0262428740730292,0.237409708285057,0.317147722953608
145,0.114983036972214,0.0181296008870239,0.325849455635324,0.427101350990013
146,0.101229283727338,0.0214069150940764,0.431808434282956,0.472155773654249
147,0.0852680616765405,0.0224159315566344,0.344964462594479,0.46857418813583
148,0.0912992526666491,0.0199859381545373,0.436481969880775,0.504762569799905
149,0.0878086433848213,0.0285102595924362,0.430688897894292,0.496046207867573
150,0.101096915596144,0.0235864036661093,0.450233653322729,0.510773956456377
151,0.103624411642981,0.0254361145655371,0.410101027882362,0.587524659954504
152,0.0875763548343701,0.0220050613954888,0.37931195751893,0.305028276178549
153,0.0818006723946057,0.0271374457589051,0.340786515871395,0.345229990523447
154,0.106819047749068,0.0365933468915469,0.431099104385983,0.733860727895231
155,0.0812821921436236,0.0485410435266388,0.434645313846106,0.650367267007275
156,0.10921081962303,0.0393377679493498,0.430968315068861,0.734296145126821
157,0.0854966156868131,0.0252684522386326,0.43623853270056,0.325487447114337
158,0.0940457604596731,0.042543940206486,0.699305645880713,0.699256782150841
159,0.0881441121664271,0.0882500883459856,0.429358467273206,0.846981452353997
160,0.0856211613512114,0.040978256306105,0.419632607591055,0.559322864567213
161,0.104466095971096,0.0252158968437849,0.439291716351135,0.634853549523979
162,0.102944490925945,0.0408038098344552,0.447500424070016,0.778007244446328
163,0.100386338660986,0.0131783296740071,0.439537428267531,0.413741013530768
