"parameter","median","lower_95","upper_95"
"beta_0",0.0897547379695877,0.069826307531574,0.108269153886159
"sigma2_w",0.0310067553785508,0.016848661320384,0.125589518201763
"eta",0.440474349125474,0.274567824334517,0.936125469616043
"rho",0.578312952034013,0.263785767697178,0.89757503761691
