"parameter","median","lower_95","upper_95"
"beta_0",0.0949079388252561,0.0670382990583261,0.123619776626576
"alpha",0.441274002255959,0.314269474363675,0.711456593954036
"tau2",0.0341355854415422,0.0184139004009146,0.0593564604001833
