"dataset_name","parameter","n_chains","n_draws_total","posterior_sd","spectral_variance","effective_sample_size","ess_per_draw","mcse_mean","mcse_over_posterior_sd","method"
"california","beta_0",1,10000,0.0134444080875041,0.000382705759999358,4723.0046609084,0.47230046609084,0.000195628668655532,0.0145509320590587,"coda::spectrum0.ar"
"california","alpha",1,10000,0.0986101277781214,1.01864000159528,95.460194820436,0.0095460194820436,0.010092769697141,0.102350234449045,"coda::spectrum0.ar"
"california","tau2",1,10000,0.0104810378658607,0.00256518119103543,428.243256770741,0.0428243256770741,0.000506476178219216,0.0483230940200046,"coda::spectrum0.ar"
