experiment,label,total_runtime_sec,mean_seconds_per_dataset,mean_seconds_per_1000_draws_per_dataset,num_batches
00_baseline,Baseline,136.93407389998174,0.03381088244443994,0.03381088244443994,81
01_ablate_core_observation_features,No core observation features,134.94348779999564,0.03331937970370263,0.03331937970370263,81
02_ablate_graph_topology_features,No graph topology features,136.88817680003558,0.033799549827169276,0.033799549827169276,81
03_ablate_dissimilarity_features,No dissimilarity features,131.81467899996642,0.032546834320979365,0.032546834320979365,81
04_ablate_local_spatial_features,No local spatial features,138.37336169996706,0.03416626214814002,0.03416626214814002,81
05_ablate_global_graph_features,No global graph features,128.79366299999674,0.03180090444444364,0.03180090444444364,81
06_core_observation_only,Only core observation features,130.09091269996134,0.032121213012336135,0.032121213012336135,81
