experiment,label,batch_index,N,elapsed_sec,datasets_in_batch,num_samples_requested,seconds_per_dataset,seconds_per_1000_draws_per_dataset
00_baseline,Baseline,0,40,1.6676824999740347,50,1000,0.03335364999948069,0.03335364999948069
00_baseline,Baseline,1,41,1.6006876999745145,50,1000,0.03201375399949029,0.03201375399949029
00_baseline,Baseline,2,42,1.6529457999859005,50,1000,0.03305891599971801,0.03305891599971801
00_baseline,Baseline,3,43,1.6408191000809893,50,1000,0.032816382001619786,0.032816382001619786
00_baseline,Baseline,4,44,1.6249987999908626,50,1000,0.03249997599981725,0.03249997599981725
00_baseline,Baseline,5,45,1.6183908000821248,50,1000,0.03236781600164249,0.03236781600164249
00_baseline,Baseline,6,46,1.6105661999899894,50,1000,0.032211323999799785,0.032211323999799785
00_baseline,Baseline,7,47,1.626529400004074,50,1000,0.03253058800008148,0.03253058800008148
00_baseline,Baseline,8,48,1.7223840999649838,50,1000,0.03444768199929968,0.03444768199929968
00_baseline,Baseline,9,49,1.6175625000614673,50,1000,0.03235125000122935,0.03235125000122935
00_baseline,Baseline,10,50,1.6205063998932019,50,1000,0.03241012799786404,0.03241012799786404
00_baseline,Baseline,11,51,1.6606763999443501,50,1000,0.033213527998887,0.033213527998887
00_baseline,Baseline,12,52,1.674353399896063,50,1000,0.033487067997921255,0.033487067997921255
00_baseline,Baseline,13,53,1.6817063000053167,50,1000,0.03363412600010633,0.03363412600010633
00_baseline,Baseline,14,54,1.6321299000410363,50,1000,0.03264259800082073,0.03264259800082073
00_baseline,Baseline,15,55,1.653366700047627,50,1000,0.03306733400095254,0.03306733400095254
00_baseline,Baseline,16,56,1.6649927999824286,50,1000,0.03329985599964857,0.03329985599964857
00_baseline,Baseline,17,57,1.6763475999468938,50,1000,0.033526951998937876,0.033526951998937876
00_baseline,Baseline,18,58,1.6800049000885338,50,1000,0.033600098001770676,0.033600098001770676
00_baseline,Baseline,19,59,1.6849863000679761,50,1000,0.03369972600135952,0.03369972600135952
00_baseline,Baseline,20,60,1.67714160005562,50,1000,0.0335428320011124,0.0335428320011124
00_baseline,Baseline,21,61,1.6832627999829128,50,1000,0.03366525599965826,0.03366525599965826
00_baseline,Baseline,22,62,1.6735657999524847,50,1000,0.03347131599904969,0.03347131599904969
00_baseline,Baseline,23,63,1.7145184999099001,50,1000,0.034290369998198005,0.034290369998198005
00_baseline,Baseline,24,64,1.6306615000357851,50,1000,0.032613230000715705,0.032613230000715705
00_baseline,Baseline,25,65,1.635636999970302,50,1000,0.03271273999940604,0.03271273999940604
00_baseline,Baseline,26,66,1.6473027999745682,50,1000,0.03294605599949137,0.03294605599949137
00_baseline,Baseline,27,67,1.648549700039439,50,1000,0.032970994000788775,0.032970994000788775
00_baseline,Baseline,28,68,1.6533656000392511,50,1000,0.033067312000785026,0.033067312000785026
00_baseline,Baseline,29,69,1.6166107000317425,50,1000,0.03233221400063485,0.03233221400063485
00_baseline,Baseline,30,70,1.6837620000587776,50,1000,0.033675240001175555,0.033675240001175555
00_baseline,Baseline,31,71,1.651110399980098,50,1000,0.03302220799960196,0.03302220799960196
00_baseline,Baseline,32,72,1.586631599930115,50,1000,0.0317326319986023,0.0317326319986023
00_baseline,Baseline,33,73,1.6177210999885574,50,1000,0.03235442199977115,0.03235442199977115
00_baseline,Baseline,34,74,1.6583367000566795,50,1000,0.03316673400113359,0.03316673400113359
00_baseline,Baseline,35,75,1.6759955999441445,50,1000,0.03351991199888289,0.03351991199888289
00_baseline,Baseline,36,76,1.6798126000212505,50,1000,0.033596252000425014,0.033596252000425014
00_baseline,Baseline,37,77,1.6551757999695837,50,1000,0.033103515999391674,0.033103515999391674
00_baseline,Baseline,38,78,1.6300095000769943,50,1000,0.03260019000153989,0.03260019000153989
