loss,val_loss,epoch,experiment,label
3.96070408821106,3.908414363861084,1,00_baseline,Baseline
3.009411573410034,2.792258977890014,2,00_baseline,Baseline
2.5678064823150635,2.7667055130004883,3,00_baseline,Baseline
2.3661208152771,2.095312118530273,4,00_baseline,Baseline
2.1036951541900635,2.098666191101074,5,00_baseline,Baseline
1.9559348821640012,2.0049097537994385,6,00_baseline,Baseline
1.8150886297225952,1.7582273483276367,7,00_baseline,Baseline
1.6957379579544067,1.902076244354248,8,00_baseline,Baseline
1.6096410751342771,1.6293426752090454,9,00_baseline,Baseline
1.5144141912460327,1.6598881483078003,10,00_baseline,Baseline
1.5035805702209473,1.5032353401184082,11,00_baseline,Baseline
1.366645097732544,1.4555028676986694,12,00_baseline,Baseline
1.299796462059021,1.78611159324646,13,00_baseline,Baseline
1.2553271055221558,1.231247901916504,14,00_baseline,Baseline
1.213308811187744,1.1563915014266968,15,00_baseline,Baseline
1.1483572721481323,1.6651512384414673,16,00_baseline,Baseline
1.188758134841919,1.1364548206329346,17,00_baseline,Baseline
1.0702701807022097,1.1181583404541016,18,00_baseline,Baseline
1.0091179609298706,1.3638358116149902,19,00_baseline,Baseline
0.9412188529968262,1.1426478624343872,20,00_baseline,Baseline
0.8791683912277222,0.8781094551086426,21,00_baseline,Baseline
0.8349921703338623,0.8651160597801208,22,00_baseline,Baseline
0.7384968400001526,1.018913745880127,23,00_baseline,Baseline
0.7394681572914124,0.8806982040405273,24,00_baseline,Baseline
0.7412058115005493,1.01968514919281,25,00_baseline,Baseline
0.6267438530921936,0.8407079577445984,26,00_baseline,Baseline
0.5928964018821716,0.7894255518913269,27,00_baseline,Baseline
0.5428579449653625,0.753890872001648,28,00_baseline,Baseline
0.5082561373710632,0.788893461227417,29,00_baseline,Baseline
0.51218181848526,0.972504734992981,30,00_baseline,Baseline
0.4685980975627899,0.6870115995407104,31,00_baseline,Baseline
0.4129736721515655,0.851117730140686,32,00_baseline,Baseline
0.3998429179191589,0.700221061706543,33,00_baseline,Baseline
0.359838992357254,0.6907002925872803,34,00_baseline,Baseline
0.3096251785755157,0.6446896195411682,35,00_baseline,Baseline
