experiment,label,epochs_completed,final_loss,min_loss,final_val_loss,min_val_loss
00_baseline,Baseline,40,0.2577239274978637,0.2577239274978637,0.6698935031890869,0.6446896195411682
01_ablate_core_observation_features,No core observation features,40,0.5619396567344666,0.5619396567344666,1.0241721868515017,1.0168250799179075
02_ablate_graph_topology_features,No graph topology features,40,0.2564286589622497,0.2564286589622497,0.6290441155433655,0.6192114949226379
03_ablate_dissimilarity_features,No dissimilarity features,40,0.2789681255817413,0.2712703049182892,0.6097318530082703,0.604779064655304
04_ablate_local_spatial_features,No local spatial features,40,0.2402494549751281,0.2402494549751281,0.6279850602149963,0.6248441934585571
05_ablate_global_graph_features,No global graph features,40,0.2275135070085525,0.2275135070085525,0.5699926614761353,0.5565177798271179
06_core_observation_only,Only core observation features,40,1.0009121894836426,1.0009121894836426,1.0395302772521973,1.0395302772521973
