experiment,label,pooled_auroc,pooled_average_precision,pooled_brier,mean_dataset_auroc,mean_dataset_average_precision,mean_dataset_brier,mpm_mean_sensitivity,mpm_mean_specificity,boundary_count_coverage_95,mean_true_boundary_count,mean_estimated_boundary_count,mean_mpm_selected_boundary_count,baseline_pooled_auroc,baseline_pooled_average_precision,baseline_pooled_brier,baseline_mpm_mean_sensitivity,baseline_mpm_mean_specificity,baseline_boundary_count_coverage_95,delta_pooled_auroc_vs_baseline,delta_pooled_average_precision_vs_baseline,delta_pooled_brier_vs_baseline,delta_mpm_mean_sensitivity_vs_baseline,delta_mpm_mean_specificity_vs_baseline,delta_boundary_count_coverage_95_vs_baseline
00_baseline,Baseline,0.949078438016582,0.792075783543357,0.0702536215910091,0.9999838090712582,0.9995770533024001,0.07157147096951186,0.7303872100140444,0.9413321536927577,0.9809876543209877,40.43679012345679,42.99309012345679,40.791358024691355,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,0.0,0.0,0.0,0.0,0.0,0.0
01_ablate_core_observation_features,No core observation features,0.9476313904753942,0.7850496060666112,0.07134530455937425,0.9999956847141573,0.9998737696158072,0.07267449966748131,0.7354457124915831,0.93897589355067,0.9827160493827161,40.43679012345679,43.212860987654324,41.35901234567901,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.0014470475411877404,-0.007026177476745721,0.0010916829683651486,0.0050585024775386955,-0.002356260142087674,0.0017283950617283939
02_ablate_graph_topology_features,No graph topology features,0.9484313869865544,0.7885071899472886,0.07074026192400719,0.9999804046229753,0.9996589532153832,0.0721610266014844,0.7397101799990629,0.9401070714250012,0.9819753086419754,40.43679012345679,43.102165432098765,41.0720987654321,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.0006470510300276011,-0.0035685935960683146,0.00048664033299808396,0.00932296998501847,-0.0012250822677565276,0.0009876543209876854
03_ablate_dissimilarity_features,No dissimilarity features,0.9476868570002616,0.7841097415774533,0.07131802507870985,0.9999847435984405,0.9998607860811177,0.0726744029960252,0.7351485833954928,0.9396456756272434,0.9829629629629629,40.43679012345679,43.205385925925924,41.126172839506175,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.00139158101632042,-0.00796604196590367,0.0010644034877007463,0.004761373381448442,-0.001686478065514252,0.0019753086419752597
04_ablate_local_spatial_features,No local spatial features,0.9479295592580828,0.7864789530392203,0.07108244800762842,0.9999918353602606,0.9997168590217379,0.07247149258777477,0.7328715539688647,0.9399879724749629,0.9832098765432099,40.43679012345679,43.02957580246914,40.964691358024695,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.0011488787584992277,-0.005596830504136618,0.0008288264166193132,0.002484343954820334,-0.001344181217794782,0.0022222222222222365
05_ablate_global_graph_features,No global graph features,0.9463657695467719,0.7807601320985895,0.07204271249622053,0.9999962037843954,0.9999255742816119,0.0730547991399269,0.7299757205275392,0.9412068084145203,0.9832098765432099,40.43679012345679,42.75172790123457,40.46641975308642,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.002712668469810109,-0.011315651444767427,0.0017890909052114268,-0.0004114894865051566,-0.0001253452782373765,0.0022222222222222365
06_core_observation_only,Only core observation features,0.9067108013170115,0.6004108809853533,0.09371606018049188,0.9999979055869722,0.9999540449192597,0.09362743096894875,0.7323895644394576,0.92462079280144,0.9849382716049383,40.43679012345679,43.72698666666667,40.57432098765432,0.949078438016582,0.792075783543357,0.0702536215910091,0.7303872100140444,0.9413321536927577,0.9809876543209877,-0.04236763669957044,-0.1916649025580036,0.02346243858948277,0.0020023544254131886,-0.01671136089131764,0.00395061728395063
