rank,from_id,from_name,to_id,to_name,boundary_probability_abi,standardized_edge_dissimilarity,raw_covariate_difference,from_smr,to_smr
1,41131,"Sujeong-gu, Seongnam-si",41290,Gwacheon-si,0.82601,5.230522,11.160000000000004,0.9911651204341796,0.6878142279674456
2,41131,"Sujeong-gu, Seongnam-si",41135,"Bundang-gu, Seongnam-si",0.8048,4.6118584,9.840000000000002,0.9911651204341796,0.7179153542260908
3,41133,"Jungwon-gu, Seongnam-si",41135,"Bundang-gu, Seongnam-si",0.79691,4.405637,9.399999999999997,1.1948058167890074,0.7179153542260908
4,28177,Michuhol-gu,28185,Yeonsu-gu,0.78087,4.0588098,8.66,1.0710964431345624,0.842249463674758
5,11620,Gwanak-gu,41290,Gwacheon-si,0.76266,3.7119834,7.920000000000002,0.888780385602222,0.6878142279674456
6,41461,"Cheoin-gu, Yongin-si",41465,"Suji-gu, Yongin-si",0.75487,3.5807514,7.640000000000001,1.1092400911175069,0.6866657374970647
