from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
123,145,42750,43800,Yeongwol-gun,Danyang-gun,0.19643877525210796,0.145066738331872,Q1
123,204,42750,47210,Yeongwol-gun,Yeongju-si,0.7670466462225212,0.12651012395754702,Q3
123,219,42750,47920,Yeongwol-gun,Bonghwa-gun,0.3835233231112605,0.07185337562836125,Q2
124,125,42760,42770,Pyeongchang-gun,Jeongseon-gun,0.9728396488675882,0.13449348938326278,Q4
126,127,42780,42790,Cheorwon-gun,Hwacheon-gun,0.4864198244337933,0.08881518545615741,Q2
127,128,42790,42800,Hwacheon-gun,Yanggu-gun,0.0935422739295754,0.28793741350318847,Q1
128,129,42800,42810,Yanggu-gun,Inje-gun,1.552801747230957,0.09645976622896857,Q5
129,130,42810,42820,Inje-gun,Goseong-gun,0.4677113696478785,0.008519388294751629,Q2
129,131,42810,42830,Inje-gun,Yangyang-gun,0.6360874627211163,0.09107146294031399,Q3
132,133,43111,43112,"Sangdang-gu, Cheongju-si","Seowon-gu, Cheongju-si",0.6641501448999884,0.010772217349839686,Q3
132,135,43111,43114,"Sangdang-gu, Cheongju-si","Cheongwon-gu, Cheongju-si",0.4770655970408343,0.13162068934620663,Q2
132,138,43111,43720,"Sangdang-gu, Cheongju-si",Boeun-gun,0.7576924188295637,0.08030727928441017,Q3
132,141,43111,43745,"Sangdang-gu, Cheongju-si",Jeungpyeong-gun,1.066381922797162,0.24588608155057567,Q4
132,143,43111,43760,"Sangdang-gu, Cheongju-si",Goesan-gun,0.084188046536618,0.1113610423044813,Q1
133,134,43112,43113,"Seowon-gu, Cheongju-si","Heungdeok-gu, Cheongju-si",0.8792973749380112,0.10676353991055532,Q4
133,135,43112,43114,"Seowon-gu, Cheongju-si","Cheongwon-gu, Cheongju-si",1.1412157419408226,0.12084847199636695,Q4
134,135,43113,43114,"Heungdeok-gu, Cheongju-si","Cheongwon-gu, Cheongju-si",0.26191836700281135,0.01408493208581163,Q2
134,146,43113,44131,"Heungdeok-gu, Cheongju-si","Dongnam-gu, Cheonan-si",0.898005829723926,0.06407872891085109,Q4
135,141,43114,43745,"Cheongwon-gu, Cheongju-si",Jeungpyeong-gun,0.5893163257563279,0.11426539220436904,Q3
135,142,43114,43750,"Cheongwon-gu, Cheongju-si",Jincheon-gun,1.2815291528351866,0.11849641832603908,Q4
135,146,43114,44131,"Cheongwon-gu, Cheongju-si","Dongnam-gu, Cheonan-si",0.6360874627211146,0.07816366099666272,Q3
136,137,43130,43150,Chungju-si,Jecheon-si,0.2619183670028098,0.10242155710196155,Q2
136,143,43130,43760,Chungju-si,Goesan-gun,1.347008744585888,0.10831616421670631,Q4
136,144,43130,43770,Chungju-si,Eumseong-gun,0.35546064093238683,0.10592378693807358,Q2
136,207,43130,47280,Chungju-si,Mungyeong-si,0.6828585996859031,0.19295764419028494,Q3
137,145,43150,43800,Jecheon-si,Danyang-gun,0.04677113696478519,0.3389863754986937,Q1
137,207,43150,47280,Jecheon-si,Mungyeong-si,0.42094023268309333,0.2953792012922465,Q2
138,139,43720,43730,Boeun-gun,Okcheon-gun,0.7857551010084375,0.0672092059094469,Q3
138,143,43720,43760,Boeun-gun,Goesan-gun,0.6735043722929458,0.031053763020071123,Q3
138,206,43720,47250,Boeun-gun,Sangju-si,0.66415014489999,0.09627736151403443,Q3
139,140,43730,43740,Okcheon-gun,Yeongdong-gun,0.4115860052901327,0.05606603728353754,Q2
139,155,43730,44710,Okcheon-gun,Geumsan-gun,0.028062682178872117,0.15059211295765795,Q1
139,206,43730,47250,Okcheon-gun,Sangju-si,0.1216049561084475,0.02906815560458753,Q1
140,155,43740,44710,Yeongdong-gun,Geumsan-gun,0.38352332311126053,0.09452607567412041,Q2
140,171,43740,45730,Yeongdong-gun,Muju-gun,1.5340932924450423,0.026571533678006354,Q5
140,201,43740,47150,Yeongdong-gun,Gimcheon-si,0.15902186568027865,0.0037175633353090376,Q1
140,206,43740,47250,Yeongdong-gun,Sangju-si,0.28998104918168516,0.08513419288812507,Q2
141,142,43745,43750,Jeungpyeong-gun,Jincheon-gun,0.6922128270788588,0.23276181053040812,Q3
141,143,43745,43760,Jeungpyeong-gun,Goesan-gun,0.9821938762605441,0.13452503924609438,Q4
141,144,43745,43770,Jeungpyeong-gun,Eumseong-gun,0.7202755092577309,0.1369174165247271,Q3
142,144,43750,43770,Jincheon-gun,Eumseong-gun,0.02806268217887209,0.09584439400568101,Q1
142,146,43750,44131,Jincheon-gun,"Dongnam-gu, Cheonan-si",0.645441690114072,0.040332757329376356,Q3
142,147,43750,44133,Jincheon-gun,"Seobuk-gu, Cheonan-si",0.645441690114072,0.020990724978645403,Q3
143,144,43760,43770,Goesan-gun,Eumseong-gun,1.7024693855182749,0.002392377278632729,Q5
143,206,43760,47250,Goesan-gun,Sangju-si,0.009354227392955716,0.06522359849396331,Q1
143,207,43760,47280,Goesan-gun,Mungyeong-si,0.664150144899985,0.08464147997357863,Q3
145,204,43800,47210,Danyang-gun,Yeongju-si,0.9634854214746291,0.271576862289419,Q4
145,207,43800,47280,Danyang-gun,Mungyeong-si,0.4677113696478785,0.04360717420644722,Q2
145,218,43800,47900,Danyang-gun,Yecheon-gun,1.870845478591514,0.03160338584982636,Q5
146,147,44131,44133,"Dongnam-gu, Cheonan-si","Seobuk-gu, Cheonan-si",0.0,0.019342032350730953,Q1
146,148,44131,44150,"Dongnam-gu, Cheonan-si",Gongju-si,1.3470087445858898,0.05282004171706234,Q4
146,150,44131,44200,"Dongnam-gu, Cheonan-si",Asan-si,0.8512346927591391,0.009605909701765114,Q3
147,150,44133,44200,"Seobuk-gu, Cheonan-si",Asan-si,0.8512346927591391,0.00973612264896584,Q3
148,150,44150,44200,Gongju-si,Asan-si,0.49577405182675066,0.043214132015297224,Q2
148,152,44150,44230,Gongju-si,Nonsan-si,1.3189460624070177,0.010906715894769548,Q4
148,153,44150,44250,Gongju-si,Gyeryong-si,1.8614912511985566,0.3268490247044227,Q5
148,156,44150,44760,Gongju-si,Buyeo-gun,0.14966763828732127,0.12287865037397427,Q1
148,158,44150,44790,Gongju-si,Cheongyang-gun,0.40223177789717696,0.1573556990254481,Q2
148,160,44150,44810,Gongju-si,Yesan-gun,0.22450145743098357,0.002209722987022822,Q1
149,156,44180,44760,Boryeong-si,Buyeo-gun,1.1318615145478652,0.24403259628954377,Q4
149,157,44180,44770,Boryeong-si,Seocheon-gun,0.7951093284013933,0.012015495272670762,Q3
149,158,44180,44790,Boryeong-si,Cheongyang-gun,0.8792973749380096,0.2785096449410176,Q4
149,159,44180,44800,Boryeong-si,Hongseong-gun,1.375071426764762,0.07818931255070005,Q5
150,154,44200,44270,Asan-si,Dangjin-si,0.6360874627211163,0.02916942766449626,Q3
150,160,44200,44810,Asan-si,Yesan-gun,0.27127259439576706,0.0410044090282744,Q2
151,154,44210,44270,Seosan-si,Dangjin-si,0.3273979587535163,0.06514745637226493,Q2
151,159,44210,44800,Seosan-si,Hongseong-gun,0.898005829723926,0.09406738538633341,Q4
151,160,44210,44810,Seosan-si,Yesan-gun,0.5799620983633671,0.05331247500848679,Q3
151,161,44210,44825,Seosan-si,Taean-gun,1.6653345369377348e-15,0.0844619672837501,Q1
152,153,44230,44250,Nonsan-si,Gyeryong-si,3.1804373136055744,0.3159423088096531,Q5
152,155,44230,44710,Nonsan-si,Geumsan-gun,1.0850903775830785,0.007194101498487093,Q4
152,156,44230,44760,Nonsan-si,Buyeo-gun,1.1692784241196963,0.11197193447920473,Q4
152,165,44230,45140,Nonsan-si,Iksan-si,1.1973411062985702,0.05339204333846581,Q4
152,169,44230,45710,Nonsan-si,Wanju-gun,1.2160495610844848,0.16296330397646752,Q4
154,160,44270,44810,Dangjin-si,Yesan-gun,0.9073600571168834,0.011834981363778141,Q4
155,169,44710,45710,Geumsan-gun,Wanju-gun,0.13095918350140653,0.17015740547495461,Q1
155,170,44710,45720,Geumsan-gun,Jinan-gun,0.6922128270788604,0.10313460440843691,Q3
155,171,44710,45730,Geumsan-gun,Muju-gun,1.1505699693337816,0.12109760935212677,Q4
156,157,44760,44770,Buyeo-gun,Seocheon-gun,0.33675218614647207,0.25604809156221453,Q2
156,158,44760,44790,Buyeo-gun,Cheongyang-gun,0.2525641396098557,0.03447704865147383,Q2
156,165,44760,45140,Buyeo-gun,Iksan-si,0.028062682178873782,0.058579891140738916,Q1
158,159,44790,44800,Cheongyang-gun,Hongseong-gun,0.4957740518267523,0.20032033239031755,Q2
158,160,44790,44810,Cheongyang-gun,Yesan-gun,0.1777303204661934,0.15956542201247093,Q1
159,160,44800,44810,Hongseong-gun,Yesan-gun,0.31804373136055897,0.04075491037784662,Q2
162,163,45111,45113,"Wansan-gu, Jeonju-si","Deokjin-gu, Jeonju-si",0.0,0.001259085658944059,Q1
162,168,45111,45210,"Wansan-gu, Jeonju-si",Gimje-si,1.103798832368995,0.02112798298705698,Q4
162,169,45111,45710,"Wansan-gu, Jeonju-si",Wanju-gun,0.8512346927591391,0.0834015047028398,Q3
163,165,45113,45140,"Deokjin-gu, Jeonju-si",Iksan-si,0.8699431475450539,0.02491067027621785,Q3
163,168,45113,45210,"Deokjin-gu, Jeonju-si",Gimje-si,1.103798832368995,0.02238706864600104,Q4
163,169,45113,45710,"Deokjin-gu, Jeonju-si",Wanju-gun,0.8512346927591391,0.08466059036178386,Q3
164,165,45130,45140,Gunsan-si,Iksan-si,0.1028965013225344,0.09325227979721706,Q1
164,168,45130,45210,Gunsan-si,Gimje-si,0.33675218614647534,0.14055001871943595,Q2
164,176,45130,45800,Gunsan-si,Buan-gun,0.33675218614647534,0.06516022808636723,Q2
165,168,45140,45210,Iksan-si,Gimje-si,0.23385568482394092,0.04729773892221889,Q2
