from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
213,220,47770,47930,Yeongdeok-gun,Uljin-gun,0.07483381914366061,0.060877759269713394,Q1
214,230,47820,48270,Cheongdo-gun,Miryang-si,0.046771136964786866,0.11399361371606354,Q1
214,234,47820,48740,Cheongdo-gun,Changnyeong-gun,0.4396486874690064,0.11030613433406877,Q2
215,216,47830,47840,Goryeong-gun,Seongju-gun,0.5331909613985819,0.17104153202171357,Q3
215,234,47830,48740,Goryeong-gun,Changnyeong-gun,1.290883380228144,0.1775748135084818,Q4
215,240,47830,48890,Goryeong-gun,Hapcheon-gun,1.1037988323689931,0.08604057020090128,Q4
216,217,47840,47850,Seongju-gun,Chilgok-gun,0.7670466462225227,0.11361165421601971,Q3
216,239,47840,48880,Seongju-gun,Geochang-gun,1.1131530597619488,0.2138486644058446,Q4
216,240,47840,48890,Seongju-gun,Hapcheon-gun,0.5706078709704113,0.08500096182081229,Q3
219,220,47920,47930,Bonghwa-gun,Uljin-gun,2.422744894776011,0.11375157948511916,Q5
221,222,48121,48123,"Uichang-gu, Changwon-si","Seongsan-gu, Changwon-si",0.0,0.14985609095276153,Q1
221,224,48121,48127,"Uichang-gu, Changwon-si","Masanhoewon-gu, Changwon-si",0.0,0.09106626147135088,Q1
