display_id,area_id,area_name,observed,expected,risk_ratio,covariate,crude_log_risk,degree
K001,11110,Jongno-gu,257.0,305.0599436275072,0.8424573772091472,19.98,-0.16948857367648618,6.0
K002,11140,Jung-gu,206.0,244.22955705900293,0.843468753252633,22.32,-0.16780817822887073,6.0
K003,11170,Yongsan-gu,402.0,416.129241373064,0.9660460261661905,19.46,-0.033300791530289864,6.0
K004,11200,Seongdong-gu,452.0,489.77561336429824,0.9228715919422462,20.240000000000002,-0.07915959117225846,5.0
K005,11215,Gwangjin-gu,448.0,531.8292397766754,0.8423756470932723,20.76,-0.1704137784549813,7.0
K006,11230,Dongdaemun-gu,586.0,656.7668326034343,0.8922496857478118,20.660000000000004,-0.1131563902973598,6.0
K007,11260,Jungnang-gu,668.0,707.0321659877054,0.9447943560910295,22.540000000000003,-0.056039764766184774,5.0
K008,11290,Seongbuk-gu,688.0,784.6540388715528,0.8768195483826791,20.68,-0.13072758765707349,6.0
K009,11305,Gangbuk-gu,606.0,649.1266526614061,0.9335620368003876,23.5,-0.0679231197604313,4.0
K010,11320,Dobong-gu,611.0,650.9353368321581,0.9386493026688221,20.42,-0.06249535316503252,4.0
K011,11350,Nowon-gu,866.0,895.6199942132286,0.9669279444355765,19.639999999999997,-0.03305410025635247,6.0
K012,11380,Eunpyeong-gu,847.0,877.1080984684465,0.9656734460427175,20.779999999999998,-0.03433940489285625,3.0
K013,11410,Seodaemun-gu,513.0,575.8789000911297,0.8908122869561995,20.94,-0.11464736632579786,4.0
K014,11440,Mapo-gu,507.0,592.8362545782497,0.8552108547421503,19.139999999999997,-0.15542151939127713,6.0
K015,11470,Yangcheon-gu,596.0,678.7945740344765,0.8780270538369518,18.0,-0.12923929832297,4.0
K016,11500,Gangseo-gu,826.0,899.529868482641,0.9182574464073398,20.139999999999997,-0.0846723412287318,6.0
K017,11530,Guro-gu,617.0,696.6874840271875,0.8856194694835687,19.119999999999997,-0.12065786872091255,6.0
K018,11545,Geumcheon-gu,370.0,401.724655329192,0.9210288566849467,22.56,-0.08091347221431366,4.0
K019,11560,Yeongdeungpo-gu,550.0,639.1890437978889,0.8604653120022965,17.78,-0.14937329765101737,7.0
K020,11590,Dongjak-gu,592.0,677.4442197100605,0.8738726861576445,18.240000000000002,-0.1339763438237842,4.0
K021,11620,Gwanak-gu,718.0,807.8486110081017,0.888780385602222,21.84,-0.1172089728337129,8.0
K022,11650,Seocho-gu,425.0,639.4651120653775,0.6646179627021606,16.4,-0.40736711649833257,6.0
K023,11680,Gangnam-gu,521.0,779.0344658835795,0.6687765725603458,18.08,-0.4013460142041856,5.0
K024,11710,Songpa-gu,719.0,934.3654064828355,0.7695062285176845,16.98,-0.26131106288957984,5.0
K025,11740,Gangdong-gu,577.0,684.4339302382107,0.8430324309012276,18.68,-0.16988367501245438,3.0
K026,26110,Jung-gu,110.0,111.00684874995193,0.9909298501732997,26.580000000000002,-0.004576378901148814,2.0
K027,26140,Seo-gu,312.0,279.5664999305522,1.1160135426723325,21.740000000000002,0.11136428026351552,5.0
K028,26170,Dong-gu,253.0,236.28108641923944,1.070758577565941,21.439999999999998,0.07034168258669382,3.0
K029,26230,Busanjin-gu,694.0,727.2976477507323,0.9542173031169429,21.759999999999998,-0.04614365073940618,6.0
K030,26260,Dongnae-gu,462.0,501.1003582282356,0.9219710032407787,19.22,-0.08015983989667053,5.0
K031,26290,Nam-gu,584.0,553.7249146442474,1.0546753172108998,20.5,0.05408876144706998,3.0
K032,26320,Buk-gu,515.0,494.8974739335423,1.040619577034166,19.359999999999996,0.04078668570791244,7.0
K033,26350,Haeundae-gu,719.0,715.5722273774605,1.0047902538575346,21.339999999999996,0.005473985706671236,4.0
K034,26380,Saha-gu,594.0,589.188102158466,1.008166997642868,22.18,0.008975224959984374,3.0
K035,26410,Geumjeong-gu,492.0,493.4560396340254,0.997049302233477,19.98,-0.001939315537870634,5.0
