n_areas,n_edges,mean_degree,median_degree,degree_q90,median_edge_dissimilarity,scale_m,covariate_moran_i,median_log_exposure,source,application,configuration
225.0,656.0,5.831111111111111,6.0,8.0,0.8856945895070237,0.7826029296913172,0.035425452962359244,5.623767368983436,training,,0.0
93.0,263.0,5.655913978494624,6.0,7.0,0.9886560000087337,0.701100464219933,-0.04993042615386406,4.784098824951438,training,,1.0
171.0,499.0,5.83625730994152,6.0,8.0,1.0468291072048728,0.6621397664521482,-0.008761229605011146,5.3532381592557385,training,,2.0
154.0,445.0,5.779220779220779,6.0,7.700000000000017,0.9468435977961035,0.7320609044337753,-0.03204532755641326,5.634286926584415,training,,3.0
159.0,460.0,5.786163522012578,6.0,7.200000000000017,1.0096773184967307,0.6865036659355142,-0.04731178311580899,5.9651818877421565,training,,4.0
215.0,628.0,5.841860465116279,6.0,8.0,0.9421160358590167,0.7357344044440738,0.03859079107081653,6.1267962605296455,training,,5.0
82.0,232.0,5.658536585365853,6.0,7.0,0.9764944930122805,0.7098321450044555,-0.0613661120298222,5.800266748598924,training,,6.0
128.0,369.0,5.765625,6.0,7.0,0.9984871335381699,0.6941974085372106,-0.025169836956458972,4.552124676532706,training,,7.0
185.0,539.0,5.827027027027027,6.0,7.0,0.952223554908414,0.7279248417947537,-0.03116339411951307,5.846109769189305,training,,8.0
259.0,759.0,5.861003861003861,6.0,8.0,0.9537388997247629,0.7267682808785286,0.04767946077344711,5.902025612308776,training,,9.0
173.0,501.0,5.791907514450867,6.0,7.800000000000011,0.9525025547723176,0.7277116235406134,0.0018551881005719629,5.62290668034556,training,,10.0
130.0,372.0,5.723076923076923,6.0,8.0,1.0075323934153657,0.6879651563462815,-0.05394819434244166,5.6297171481947625,training,,11.0
279.0,817.0,5.85663082437276,6.0,8.0,0.9055077903976604,0.7654789808661333,0.020933762179898313,5.527100022340675,training,,12.0
48.0,131.0,5.458333333333333,5.0,7.0,0.9833217932975338,0.7049037103464386,-0.11570684604119334,4.981088638030174,training,,13.0
181.0,527.0,5.823204419889502,6.0,8.0,0.9721741408360444,0.7129866465732743,0.033702497767443454,5.394343331759855,training,,14.0
197.0,574.0,5.8274111675126905,6.0,8.0,0.9028261456966143,0.7677526662955887,-0.02382443554636494,5.822720552835355,training,,15.0
158.0,459.0,5.810126582278481,6.0,7.0,0.9901081798956539,0.7000721685109147,0.00947799897935696,5.821090139609506,training,,16.0
247.0,726.0,5.8785425101214575,6.0,7.0,0.9991767913556008,0.6937182554245883,-0.04620852051988593,5.744201607963251,training,,17.0
231.0,674.0,5.8354978354978355,6.0,8.0,1.0212813870744974,0.6787034301540479,0.0011134681062086801,5.25097869837692,training,,18.0
109.0,312.0,5.724770642201835,6.0,7.0,1.0586276139099975,0.6547601549895669,-0.09279735062378232,6.129694132442103,training,,19.0
233.0,681.0,5.84549356223176,6.0,8.0,0.9556733611921848,0.7252971660686001,0.004859367835616065,5.351426184674826,training,,20.0
110.0,314.0,5.709090909090909,6.0,7.0,0.9329166267651485,0.7429894169250747,-0.048564102150243836,5.3611648350565435,training,,21.0
175.0,509.0,5.817142857142857,6.0,7.599999999999994,0.9863935698005142,0.7027085351946543,0.07080628011785103,5.603752586507904,training,,22.0
245.0,717.0,5.853061224489796,6.0,8.0,0.9218320681779465,0.7519234842089949,-0.037498627142121405,5.665951815243771,training,,23.0
260.0,764.0,5.876923076923077,6.0,7.0,0.9050143218902316,0.7658963662721091,-0.010533792520116606,5.854904124529753,training,,24.0
67.0,187.0,5.582089552238806,6.0,8.0,0.9944613542872027,0.6970076590424878,0.13971841177299021,4.461794343879685,training,,25.0
85.0,237.0,5.576470588235294,5.0,7.6000000000000085,0.9643525454521421,0.7187694830368901,0.06511532462917868,5.969684555457215,training,,26.0
211.0,615.0,5.829383886255924,6.0,7.0,0.9475774315999015,0.7314939734155835,0.06251345952192794,5.443637782008543,training,,27.0
208.0,608.0,5.846153846153846,6.0,8.0,1.0167037955393277,0.6817592140415426,0.02972212679991246,5.339705241161855,training,,28.0
66.0,184.0,5.575757575757576,6.0,7.0,0.9660265669592104,0.7175239318125428,0.024804143471555774,4.61352559179266,training,,29.0
