loss,val_loss
4.381512641906738,4.0180206298828125
3.5218915939331055,3.3810887336730957
3.0847866535186768,2.6542587280273438
2.845909357070923,2.6921887397766113
2.6119396686553955,2.617176055908203
2.3939578533172607,2.1167335510253906
2.4165451526641846,1.9090018272399902
2.2468972206115723,1.972890853881836
2.1010587215423584,2.2901222705841064
1.9951900243759155,1.7367347478866577
2.0305776596069336,1.8265684843063354
1.8506760597229004,2.050863742828369
1.8902275562286377,1.6341828107833862
1.8599156141281128,1.9960094690322876
1.841983675956726,1.8188356161117554
1.6964383125305176,1.7818888425827026
1.688063144683838,1.5908931493759155
1.6286991834640503,1.8184553384780884
1.6052343845367432,1.6867201328277588
1.5396490097045898,1.8078629970550537
1.5030430555343628,1.4532041549682617
1.5179818868637085,1.5336105823516846
1.4268115758895874,1.3409605026245117
1.3924182653427124,1.3485333919525146
1.3004050254821777,1.3726387023925781
1.307276725769043,1.3166134357452393
1.2896145582199097,1.2852041721343994
1.2616814374923706,1.2196696996688843
1.2303707599639893,1.121652364730835
1.1769722700119019,1.4067010879516602
1.1775217056274414,1.2383440732955933
1.1384466886520386,1.1964995861053467
1.1061866283416748,1.0974938869476318
1.0775352716445923,1.1579443216323853
1.0577360391616821,1.0972366333007812
1.0466933250427246,1.071628451347351
1.0422229766845703,1.050869107246399
1.021657109260559,1.0599768161773682
1.003558874130249,1.0396682024002075
1.0009121894836426,1.0395302772521973
