loss,val_loss
3.9906270503997803,3.1180715560913086
2.9846222400665283,2.7552623748779297
2.698239803314209,2.1652259826660156
2.373314142227173,2.138947010040283
2.1699512004852295,2.016080856323242
2.0414888858795166,1.906911015510559
1.7919877767562866,1.7250328063964844
1.7529726028442383,1.6858595609664917
1.5137434005737305,1.4837572574615479
1.5198076963424683,1.6687613725662231
1.418845772743225,1.711893081665039
1.3546165227890015,1.3554810285568237
1.3035707473754883,1.2614777088165283
1.1978108882904053,1.3399308919906616
1.2186994552612305,1.1181871891021729
1.162589192390442,1.2476818561553955
1.1115778684616089,1.1937791109085083
1.0090456008911133,1.0012801885604858
1.0189892053604126,1.0901347398757935
0.8849800825119019,0.9676426649093628
0.8821929693222046,0.9157635569572449
0.8011799454689026,0.9794526100158691
0.7612795233726501,0.8878957629203796
0.7398338317871094,0.8178571462631226
0.6978265643119812,0.9497196674346924
0.630230188369751,0.7626147866249084
0.5877037644386292,0.7691565155982971
0.5499776601791382,0.8757888674736023
0.5085879564285278,0.7132220268249512
0.4669508635997772,0.9514347314834595
0.45264554023742676,0.6790528297424316
0.4221650958061218,0.7483348846435547
0.38081854581832886,0.6358798742294312
0.37563076615333557,0.6429977416992188
0.3334943354129791,0.6094862818717957
0.3214374780654907,0.6311821937561035
0.2935771942138672,0.6247661709785461
0.28407707810401917,0.6274268627166748
0.2712703049182892,0.604779064655304
0.27896812558174133,0.6097318530082703
