parameter,median,lower_95,upper_95
beta_0,-0.23912934213876724,-0.3091565392911434,-0.17136558219790463
sigma2_w,0.3375256261839829,0.07845174112443679,1.092991510923263
eta_raw,0.718278675992676,0.10029261295041238,0.9824279925228062
eta,0.8315642798921454,0.1161105811074666,1.1373747452812362
rho,0.8782224620194896,0.45313303770017904,0.9752676074765685
