comparison,abi_parameter,reference_parameter,abi_median,abi_lower_95,abi_upper_95,reference_median,reference_lower_95,reference_upper_95
intercept,beta_0,beta_0,-0.23912934213876724,-0.3091565392911434,-0.17136558219790463,-0.219862412916924,-0.241336089627907,-0.199207795451598
variance_scale,sigma2_w,sigma2_w,0.3375256261839829,0.07845174112443679,1.092991510923263,0.208623392031089,0.103518655246409,0.80074534847538
boundary_strength,eta,eta,0.8315642798921454,0.1161105811074666,1.1373747452812362,0.672415544212796,0.560711816690561,0.687778083272699
spatial_dependence,rho,rho,0.8782224620194896,0.45313303770017904,0.9752676074765685,0.759566328643188,0.513418393165181,0.938120087472557
