area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_carbayes
30170,1.0160862,672.09937,671.367,592.975,760.025,626.0,661.459,0.967229420196977
30200,0.9095102,331.2989,332.177,289.975,378.0,317.0,364.26077,0.918899199529616
30230,0.9911023,296.92224,296.61,259.0,339.0,292.0,299.5879,1.0018191795926
31110,1.1216327,381.55972,381.637,330.0,437.02502,358.0,340.1824,1.0711693400699
31140,1.1157959,453.46268,453.984,390.0,524.025,418.0,406.40292,1.05463836066114
31170,1.1674289,232.55463,232.614,195.0,272.02502,218.0,199.2024,1.1012034209286
31200,1.2761842,241.06041,241.79,201.0,284.02502,217.0,188.89156,1.12032291961328
31710,1.3897887,479.53427,480.279,419.975,548.0,429.0,345.04114,1.15147439806946
36110,1.0947839,363.4768,363.327,313.975,410.0,394.0,332.0078,1.11961086061122
41111,1.0370929,420.9399,421.936,366.0,480.0,395.0,405.8845,0.953659847935504
41113,0.9794506,422.31534,421.973,369.0,477.0,408.0,431.17575,0.95427236317438
41115,1.074867,322.33682,322.043,280.0,368.0,325.0,299.8853,1.04168257499526
41117,0.9946489,282.41064,282.278,246.0,321.02502,272.0,283.93,0.898491770283583
41131,0.86291397,321.25348,321.143,125.0,432.0,369.0,372.28912,1.01128028043329
41133,1.041046,379.89108,380.582,153.0,502.0,436.0,364.91284,1.1364142756726
41135,0.6681133,468.10672,467.543,191.0,592.05005,503.0,700.6397,0.723052379101194
41150,0.79330546,568.7062,569.454,338.0,775.0,713.0,716.8817,0.988323406527643
41171,0.7669899,307.647,307.543,240.975,376.0,384.0,401.1096,0.937527551029266
41173,0.6972845,298.53397,298.349,200.0,401.0,357.0,428.13794,0.852213561412077
41190,0.8769428,1026.7368,1026.21,861.0,1201.0,1163.0,1170.8138,0.987994448364084
41210,0.8070785,379.0516,378.844,329.975,456.0,474.0,469.6589,0.983227906340207
41220,1.1375054,794.51605,794.394,700.975,896.05005,746.0,698.47235,1.05791516480426
41250,1.0643009,214.46107,214.703,176.0,254.0,201.0,201.50417,1.0126032166077
41271,0.9307336,422.88397,421.384,343.0,501.02502,464.0,454.35553,1.00042474678879
41273,0.9092425,322.94794,323.262,262.0,380.02502,347.0,355.1835,0.981353901457996
41281,0.73251754,526.0674,525.579,425.0,686.05005,679.0,718.1635,0.939268715316185
41285,0.8014085,333.0466,331.816,221.975,424.0,371.0,415.57657,0.894833843798407
41287,0.64769393,277.37863,278.558,185.0,353.02502,336.0,428.25574,0.832965326391203
41290,0.38639858,38.76265,38.493,21.0,66.0,69.0,100.31779,0.71191719694911
41310,0.6684546,185.34937,184.885,131.0,269.02502,276.0,277.28043,0.959761405053513
41360,0.7182058,724.704,725.716,458.975,1002.025,953.0,1009.0478,0.955444994835743
41370,1.1314249,250.67488,250.878,213.975,294.02502,227.0,221.5568,1.02227567295021
41390,0.8710463,404.78278,404.03,342.95,469.0,458.0,464.70868,0.98718032676654
41410,0.64470357,255.69244,256.518,187.0,337.05005,342.0,396.60468,0.870433667335939
41430,0.5934073,139.70125,139.055,84.0,185.02502,193.0,235.4222,0.848681890335381
41450,0.40773684,128.01227,128.508,61.95,260.0,277.0,313.95807,0.870114743617053
41461,1.2213635,465.75742,466.471,402.0,538.0,423.0,381.34216,1.06484947257926
41463,0.78165007,446.18857,445.865,384.975,522.025,438.0,570.82904,0.781916470467231
41465,0.5302832,270.29037,270.997,221.0,329.02502,350.0,509.70944,0.739656688357393
41480,0.7518611,518.3833,518.593,364.0,710.025,722.0,689.46686,1.01385552348425
41500,1.2090006,415.62686,415.041,337.0,480.0,355.0,343.77722,1.03476935245068
41550,1.2017347,423.58426,424.112,350.975,489.0,365.0,352.47736,1.05179242132728
41570,0.6982276,384.55832,384.392,329.975,465.05005,485.0,550.76355,0.894917826796638
41590,0.97298443,725.27106,725.861,644.975,804.025,722.0,745.4087,0.981365222315761
41610,0.7825523,383.93024,383.626,203.0,503.0,423.0,490.61288,0.941828850825912
41630,0.7104011,257.76706,257.541,178.0,347.02502,343.0,362.8472,0.968399979010383
41650,0.90755486,297.4639,297.507,201.975,398.0,374.0,327.7641,1.05087517897605
41670,0.96650684,254.54362,255.287,189.975,307.02502,271.0,263.36453,1.03364263073028
41800,0.8889453,114.715126,114.57,79.0,161.0,138.0,129.04633,1.02836250969647
41820,0.7732962,138.7665,138.779,87.0,192.0,179.0,179.44806,1.0005373719735
41830,0.7892175,246.71616,246.993,156.975,330.0,318.0,312.60858,1.01678147219762
42110,0.7251517,403.88428,403.922,267.975,530.0,510.0,556.9652,0.957640222244085
42130,0.97793937,565.4057,565.027,396.0,704.0,642.0,578.1603,1.08618034135853
42150,1.1415011,551.85144,551.399,481.95,628.0,518.0,483.44366,1.07761889031353
42170,1.2354108,238.11958,237.615,196.0,279.0,215.0,192.74527,1.10640309093808
42190,1.3276248,142.08713,142.329,116.975,171.02502,133.0,107.02356,1.15399429498503
42210,1.2048116,198.49619,198.827,165.0,237.02502,186.0,164.75288,1.10439497219704
42230,1.2716178,229.60724,229.307,176.95,273.0,187.0,180.5631,1.08953873593893
42720,0.8369841,168.43336,168.068,119.975,219.02502,208.0,201.23843,1.04062066075226
42730,0.91686296,138.77698,138.274,89.0,187.0,164.0,151.36066,1.07068769199893
42750,1.1558987,144.55345,144.38,106.975,181.0,141.0,125.0572,1.1028294562885
42760,1.021698,130.45882,130.079,97.0,165.02502,134.0,127.68824,1.07388609131695
42770,1.4244907,155.45483,155.806,125.0,184.02502,131.0,109.13011,1.12388858964422
42780,0.8440299,95.46323,95.29,65.0,128.02502,111.0,113.10408,1.00892207174587
42790,0.6869556,43.02813,42.876,24.0,63.0,56.0,62.63597,0.992573991337861
42800,0.8466794,45.394623,45.37,25.0,68.0,64.0,53.61489,1.04443579619849
42810,0.95364326,72.02074,72.322,48.0,100.0,82.0,75.521675,1.05947150291771
42820,1.1421843,101.078445,100.667,78.0,125.0,97.0,88.49574,1.08791774853085
42830,1.1847327,105.44738,105.533,81.975,130.0,106.0,89.00521,1.10221008481872
43111,1.0298069,319.62326,319.258,276.975,364.0,319.0,310.37204,1.05620100335326
43112,1.0337231,333.29605,332.645,291.975,373.0,335.0,322.42294,1.0498768457562
43113,1.1892534,380.56537,381.056,332.975,427.02502,370.0,320.00357,1.12981107491292
43114,1.2451135,333.4872,333.917,288.0,374.02502,314.0,267.8368,1.12318898750739
43130,0.997298,456.369,456.605,327.0,557.0,472.0,457.60544,1.05676546334054
43150,0.9432955,297.0478,296.555,216.0,372.0,293.0,314.9043,1.02062956911533
43720,1.133717,147.87758,147.861,120.0,176.0,145.0,130.43607,1.10093710267011
43730,1.2639797,212.42253,212.232,180.0,248.0,200.0,168.0585,1.12237920805864
43740,1.3514886,231.84015,231.4,184.95,277.0,193.0,171.5443,1.11103799132361
