comparison,abi_parameter,car_parameter,abi_median,abi_lower_95,abi_upper_95,car_median,car_lower_95,car_upper_95
intercept,beta_0,beta_0,0.021731290966272354,-0.020768269756808875,0.06201019017025826,0.0192160646874451,0.0108471781477349,0.0274039297702206
variance_scale,sigma2_w,tau2,0.07914705741606223,0.007112094525503923,0.8122878802387794,0.0146476038042432,0.0102108508287231,0.0225039849504044
boundary_strength,eta,alpha,0.4301370335480451,0.01722519798700321,0.9610264121349495,0.388388093845056,0.222988217587026,0.447130959619421
spatial_dependence,rho,,0.892692887575703,0.14122558806088004,0.9939060142009073,,,
