parameter,median,lower_95,upper_95
beta_0,0.021731290966272354,-0.020768269756808875,0.06201019017025826
sigma2_w,0.07914705741606223,0.007112094525503923,0.8122878802387794
eta_raw,0.43335987781904806,0.017354259486756875,0.96822699758811
eta,0.4301370335480451,0.01722519798700321,0.9610264121349495
rho,0.892692887575703,0.14122558806088004,0.9939060142009073
