from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_car
29,32,26260,26350,0.9936121,0.2456,0,0.0,0
29,34,26260,26410,0.35620058,0.0,0,0.0,0
29,36,26260,26470,0.03749478,0.0,0,0.0,0
29,37,26260,26500,1.0217329,0.26242,0,0.0,0
30,36,26290,26470,0.56242204,0.0,0,0.0,0
30,37,26290,26500,0.4218161,0.0,0,0.0,0
31,34,26320,26410,0.2905841,0.0,0,0.0,0
31,35,26320,26440,0.7498949,0.05347,0,0.0,0
31,38,26320,26530,1.1717119,0.34074,0,0.0,0
31,229,26320,48250,0.8061375,0.10861,0,0.0,0
31,231,26320,48330,1.6310227,0.50517,1,0.1273,0
32,34,26350,26410,0.63741153,0.0,0,0.0,0
32,37,26350,26500,0.028120834,0.0,0,0.0,0
32,39,26350,26710,0.19684762,0.0,0,0.0,0
33,35,26380,26440,0.57179594,0.0,0,0.0,0
33,38,26380,26530,0.14997897,0.0,0,0.0,0
34,39,26410,26710,0.44056392,0.0,0,0.0,0
34,231,26410,48330,1.3404386,0.41239,0,0.0002999999999999,0
35,38,26440,26530,0.421817,0.0,0,0.0,0
35,225,26440,48129,0.3468266,0.0,0,0.0,0
35,229,26440,48250,0.05624257,0.0,0,0.0,0
36,37,26470,26500,0.98423815,0.24,0,0.0,0
39,70,26710,31710,0.07498948,0.0,0,0.0,0
39,231,26710,48330,0.89987475,0.18422,0,0.0,0
40,41,27110,27140,0.6467855,0.0,0,0.0,0
40,42,27110,27170,2.034092,0.59455,1,0.8023,1
40,43,27110,27200,1.3404387,0.41239,0,0.0002999999999999,0
40,44,27110,27230,0.14060596,0.0,0,0.0,0
40,45,27110,27260,1.3873065,0.42886,0,0.0004999999999999,0
40,46,27110,27290,0.4874326,0.0,0,0.0,0
41,44,27140,27230,0.5061795,0.0,0,0.0,0
41,45,27140,27260,2.034092,0.59455,1,0.8023,1
41,205,27140,47230,1.302943,0.39777,0,0.0002999999999999,0
41,208,27140,47290,0.49680558,0.0,0,0.0,0
41,209,27140,47720,1.2185796,0.36279,0,0.0,0
41,217,27140,47850,1.7622539,0.53836,1,0.3574,0
42,44,27170,27230,1.893486,0.56747,1,0.765,1
42,46,27170,27290,1.5466594,0.48105,0,0.0206,0
42,47,27170,27710,1.5372864,0.47817,0,0.0107,0
43,45,27200,27260,2.727745,0.68527,1,0.939,1
43,46,27200,27290,0.8530061,0.14912,0,0.0,0
43,47,27200,27710,0.8436331,0.14137,0,0.0,0
44,47,27230,27710,0.35619965,0.0,0,0.0,0
44,217,27230,47850,2.2684333,0.63059,1,0.8158,1
45,47,27260,27710,1.884112,0.56562,1,0.7644,1
45,208,27260,47290,2.5308976,0.66389,1,0.9222,1
46,47,27290,27710,0.009373017,0.0,0,0.0,0
46,215,27290,47830,1.6872644,0.52021,1,0.1566,0
47,208,27710,47290,0.64678544,0.0,0,0.0,0
47,214,27710,47820,0.05624167,0.0,0,0.0,0
47,215,27710,47830,1.6778915,0.51775,1,0.1515,0
47,216,27710,47840,1.1435912,0.32742,0,0.0,0
47,217,27710,47850,1.9122338,0.57113,1,0.7679,1
47,234,27710,48740,0.38432226,0.0,0,0.0,0
48,49,28110,28140,0.8998748,0.18422,0,0.0,0
48,50,28110,28177,2.634008,0.67579,1,0.9313,1
49,50,28140,28177,1.734133,0.53171,1,0.192,0
49,55,28140,28260,1.4341761,0.44561,0,0.0026,0
50,51,28177,28185,4.0588098,0.78087,1,0.9999,1
50,52,28177,28200,2.1372023,0.61138,1,0.8059,1
50,55,28177,28260,3.168309,0.72529,1,0.9827,1
51,52,28185,28200,1.9216077,0.5728,1,0.769,1
52,53,28200,28237,0.7780166,0.0813,0,0.0,0
52,55,28200,28260,1.0311068,0.26821,0,0.0,0
52,82,28200,41190,1.2654493,0.38276,0,9.9999999999989e-05,0
52,95,28200,41390,0.0843634,0.0,0,0.0,0
53,54,28237,28245,0.9936112,0.2456,0,0.0,0
53,55,28237,28260,0.2530902,0.0,0,0.0,0
53,82,28237,41190,0.4874326,0.0,0,0.0,0
54,55,28245,28260,1.2467015,0.37489,0,0.0,0
54,82,28245,41190,1.4810438,0.46071,0,0.0062999999999999,0
54,105,28245,41570,1.8559912,0.55964,1,0.7344,1
55,105,28260,41570,0.6092898,0.0,0,0.0,0
56,57,29110,29140,0.02812171,0.0,0,0.0,0
56,58,29110,29155,0.18747371,0.0,0,0.0,0
56,59,29110,29170,0.0,0.0,0,0.0,0
56,187,29110,46790,0.9654913,0.228,0,0.0,0
57,58,29140,29155,0.21559542,0.0,0,0.0,0
57,59,29140,29170,0.02812171,0.0,0,0.0,0
57,60,29140,29200,0.449937,0.0,0,0.0,0
58,60,29155,29200,0.6655324,0.0,0,0.0,0
58,180,29155,46170,0.38432136,0.0,0,0.0,0
58,187,29155,46790,1.152965,0.33191,0,0.0,0
59,60,29170,29200,0.4780587,0.0,0,0.0,0
59,182,29170,46710,0.3936953,0.0,0,0.0,0
59,187,29170,46790,0.9654913,0.228,0,0.0,0
59,195,29170,46880,0.2624641,0.0,0,0.0,0
60,180,29200,46170,0.28121102,0.0,0,0.0,0
60,193,29200,46860,0.299958,0.0,0,0.0,0
60,195,29200,46880,0.21559457,0.0,0,0.0,0
61,62,30110,30140,0.38432226,0.0,0,0.0,0
61,65,30110,30230,0.16872591,0.0,0,0.0,0
61,132,30110,43111,0.5905429,0.0,0,0.0,0
61,138,30110,43720,0.16872591,0.0,0,0.0,0
61,139,30110,43730,0.6186646,0.0,0,0.0,0
61,155,30110,44710,0.5905429,0.0,0,0.0,0
62,63,30140,30170,0.11248423,0.0,0,0.0,0
62,65,30140,30230,0.55304813,0.0,0,0.0,0
62,155,30140,44710,0.20622066,0.0,0,0.0,0
63,64,30170,30200,2.3715448,0.64446,1,0.8552,1
63,65,30170,30230,0.6655324,0.0,0,0.0,0
63,152,30170,44230,0.99361205,0.2456,0,0.0,0
63,153,30170,44250,2.193444,0.61962,1,0.8107,1
63,155,30170,44710,0.09373642,0.0,0,0.0,0
64,65,30200,30230,3.0370772,0.71434,1,0.9633,1
64,71,30200,36110,0.36557448,0.0,0,0.0,0
64,133,30200,43112,1.6122758,0.50018,1,0.1091,0
64,148,30200,44150,2.0434659,0.59609,1,0.8026,1
64,153,30200,44250,0.17810082,0.0,0,0.0,0
65,132,30230,43111,0.7592688,0.06319,0,0.0,0
65,133,30230,43112,1.4248012,0.44256,0,0.0021999999999999,0
66,67,31110,31140,0.9936121,0.2456,0,0.0,0
66,69,31110,31200,0.6842802,0.0,0,0.0,0
66,70,31110,31710,0.20622154,0.0,0,0.0,0
67,69,31140,31200,0.3093319,0.0,0,0.0,0
67,70,31140,31710,0.7873906,0.0912,0,0.0,0
68,69,31170,31200,1.0686016,0.28967,0,0.0,0
69,70,31200,31710,0.4780587,0.0,0,0.0,0
69,200,31200,47130,1.002986,0.25119,0,0.0,0
70,200,31710,47130,0.5249273,0.0,0,0.0,0
