parameter,median,lower_95,upper_95
beta_0,0.021831358782947063,-0.020752642955631014,0.06236885264515871
sigma2_w,0.07896630994231649,0.00709136862403265,0.8126809456868848
eta_raw,0.43578821938386814,0.017356902854931248,0.9678521800105778
eta,0.43254731583442063,0.01722782169677261,0.9606543820297799
rho,0.8930317640095436,0.14251407301904756,0.9937630109683057
