comparison,abi_parameter,reference_parameter,abi_median,abi_lower_95,abi_upper_95,reference_median,reference_lower_95,reference_upper_95
intercept,beta_0,beta_0,0.021731290966272354,-0.020768269756808875,0.06201019017025826,0.019475614113317,0.0115880280028656,0.0271530520146311
variance_scale,sigma2_w,sigma2_w,0.07914705741606223,0.007112094525503923,0.8122878802387794,0.0146827141610451,0.0091823585475536,0.0368373729616151
boundary_strength,eta,eta,0.4301370335480451,0.01722519798700321,0.9610264121349495,0.349995259578298,0.213589838961482,0.510586876152769
spatial_dependence,rho,rho,0.892692887575703,0.14122558806088004,0.9939060142009073,0.633947112182592,0.437638500706461,0.860831283870697
