"parameter","median","lower_95","upper_95"
"beta_0",0.0192160646874451,0.0108471781477349,0.0274039297702206
"alpha",0.388388093845056,0.222988217587026,0.447130959619421
"tau2",0.0146476038042432,0.0102108508287231,0.0225039849504044
