"parameter","median","lower_95","upper_95"
"beta_0",-0.220065780866183,-0.241597408088999,-0.19928538712361
"sigma2_w",0.29254346955504,0.125285896194141,1.6834286998827
"eta",0.87115985973386,0.701837235118359,1.08274662098199
"rho",0.857102984807638,0.64333550248138,0.975613072855056
