"parameter","accepted","attempted","acceptance_rate"
"beta_0",110762,3e+05,0.369206666666667
"phi",19079397,40200000,0.474611865671642
"eta",135874,3e+05,0.452913333333333
"rho",134819,3e+05,0.449396666666667
