parameter,median,lower_95,upper_95
beta_0,0.08557341620326042,0.014361945097334697,0.15207680128514764
sigma2_w,0.10707291803745903,0.010379848602229277,0.8460300765078276
eta_raw,0.4772644080166843,0.017237384841355702,0.9801838080964754
eta,0.469968129947578,0.016973864765535734,0.9651990459759835
rho,0.816486528231366,0.05003364667716539,0.9895480373678449
