comparison,abi_parameter,car_parameter,abi_median,abi_lower_95,abi_upper_95,car_median,car_lower_95,car_upper_95
intercept,beta_0,beta_0,0.08580881729722023,0.014974695513956257,0.15191580802202218,0.0948247535757918,0.0679155919076588,0.122168808507474
variance_scale,sigma2_w,tau2,0.10617306561622708,0.01060108461501376,0.8385159252779655,0.0330261390529248,0.0170840236320627,0.0580004283993013
boundary_strength,eta,alpha,0.46912534625237756,0.016948376476687642,0.964363251395103,0.439362763545175,0.317370186719869,0.709612341593197
spatial_dependence,rho,,0.8147618045546254,0.05065589174634258,0.9896234882340627,,,
