area_id,area_name,area_name_korean
26200,Yeongdo-gu,영도구
28710,Ganghwa-gun,강화군
28720,Ongjin-gun,옹진군
46890,Wando-gun,완도군
47940,Ulleung-gun,울릉군
48310,Geoje-si,거제시
48840,Namhae-gun,남해군
50110,Jeju-si,제주시
50130,Seogwipo-si,서귀포시
